richness,sd
476.24,95.55612027
768.39,140.1409748
969.03,168.6701673
1144.99,181.4824195
1278.15,195.3497963
1364.62,201.6812557
1461.47,201.2878965
1542.52,195.3463891
1601.79,194.3255259
1673.5,210.4753399
1711.01,214.0443877
1776.36,214.0702009
1813.35,214.9607141
1854.02,220.1043361
1907.4,218.9636287
1936.73,212.481864
1961.56,211.1675729
1990.72,204.1806034
2016.52,196.0407853
2030.66,188.4076936
2055.1,174.0725786
2083.77,155.9589337
2100.65,145.5798837
2112.04,139.8228258
2117.14,140.8051178
2128.25,137.2187206
2140.91,129.5251697
2156.12,118.1681972
2163.39,115.8567467
2175.81,100.7508874
2186.06,90.19382272
2192.06,82.94403858
2195.33,83.59051889
2199.91,83.66082257
2203.2,83.41038862
2210.05,80.6094682
2218.68,63.12579712
2220.06,62.91903086
2221.86,62.88742869
2227.07,47.08261705
2228.66,46.90140529
2229.54,47.08007792
2230.08,47.02732496
2231.18,47.09701571
2231.93,47.16706928
2233.76,46.92097806
2236.46,44.92764554
2237.29,45.01925402
2237.7,44.99393899
2238.47,45.02691788
2238.92,45.0630714
2239.43,45.14538915
2240.38,44.92188057
2241.22,44.94364148
2242.29,44.83782111
2246.8,12.9926164
2247.33,12.686631
2248.21,12.56441584
2248.89,12.06957524
2249.26,12.12195604
2249.51,12.05249042
2250.09,11.79889997
2250.27,11.77298311
2252.25,5.89191365
2252.6,5.752469825
2252.74,5.695328584
2252.86,5.750748744
2253.16,5.672403513
2253.65,5.677129378
2253.97,5.246364783
2254.27,5.202670255
2254.58,5.123090923
2254.89,4.974470176
2255.06,4.974317881
2255.26,4.708942707
2255.57,4.675867553
2255.65,4.686914947
2255.93,4.590845084
2256.06,4.585484344
2256.2,4.537164157
2256.4,4.517083174
2256.68,4.308506971
2256.79,4.212283625
2256.91,4.170834279
2257.05,4.122799382
2257.1,4.026427848
2257.43,3.885364926
2257.65,3.691034729
2258,2.719179912
2258.24,2.441724842
2258.35,2.358629117
2258.45,2.302282574
2258.69,1.011998722
2258.87,0.661418738
2258.96,0.196946386
2259,0
