richness,sd
592.184,346.1187053
1055.92,412.3689238
1459.394,399.2395068
1769.71,385.0545908
2047.416,350.3987716
2265.84,332.7288288
2497.228,311.5806636
2642.128,318.6855459
2743.588,303.9346073
2865.518,276.9259932
3005.73,258.4066209
3104.882,252.4872972
3184.454,244.0522313
3236.982,235.6169826
3312.168,228.488689
3370.64,227.4663967
3426.222,207.2980617
3468.152,202.4990078
3513.488,186.3584996
3557.772,182.0511683
3600.066,172.7952909
3627.544,163.7554769
3653.972,162.1960381
3675.654,153.6318645
3696.644,152.0290551
3729.332,140.3162668
3745.672,131.6198061
3763.228,126.3860273
3776.574,124.0614532
3796.226,119.3420198
3812.724,110.9080929
3830.69,102.2255157
3842.294,96.15082619
3859.114,83.25570811
3871.066,72.77114011
3876.47,71.62667736
3884.454,69.47391258
3888.024,69.88764016
3892.146,70.37573534
3897.634,70.21622625
3903.262,68.62729495
3909.856,63.01635561
3915.928,57.40255525
3921.572,55.92408288
3925.372,55.59223854
3931.626,52.97638624
3936.056,45.91872557
3938.504,46.1517609
3941.48,45.06793077
3945.674,45.05975072
3947.906,44.97610099
3950.618,44.8139507
3952.766,44.87689158
3956.912,40.46314018
3959.694,40.61180059
3961.73,40.26015776
3964.254,40.31924978
3966.764,39.91597619
3970.28,38.54843995
3974.226,37.86469964
3975.224,37.92861216
3977.76,32.20917744
3979.994,32.10692307
3980.706,32.20396431
3982.516,30.56334611
3984.88,29.43419299
3985.808,29.60874727
3986.648,29.79200788
3988.192,29.00322406
3990.082,28.47518991
3993.508,26.4595658
3995.032,26.03759085
3997.102,24.79380006
3997.776,24.46139453
3999.052,23.71363875
3999.764,23.88789271
4001.108,23.1569859
4001.752,23.13379827
4002.868,22.69264501
4003.462,22.71000661
4004.732,21.83605063
4006.636,20.5353478
4008.668,19.18564741
4009.04,19.22004425
4010.222,18.09239798
4010.84,17.98753777
4011.906,17.04514398
4013.754,14.29961799
4014.772,12.90462355
4015.176,12.91940143
4015.508,12.8769913
4016.52,11.24873955
4017.01,11.28311065
4018.138,9.308612065
4018.65,9.268317926
4020.4,0
