	Candidatus Falkowbacteria	Chlamydiae	Fibrobacteres	Candidatus Latescibacteria	Candidatus Parcubacteria	Calditrichaeota	Tenericutes	Candidatus Kariarchaeota	Candidatus Bathyarchaeota	Spirochaetes	candidate division WWE3	Candidatus Rokubacteria	candidate division Zixibacteria	Candidatus Schekmanbacteria	Candidatus Dadabacteria	Candidatus Krumholzibacteriota	Candidatus Hydrogenedentes	Nitrospinae	Euryarchaeota	Ignavibacteriae	Deinococcus-Thermus	Thaumarchaeota	Rhodothermaeota	Thermoplasmatota	Lentisphaerae	Kiritimatiellaeota	Candidatus Aminicenantes	Candidatus Eisenbacteria	Unclassified Bacteria	Verrucomicrobia	Other Proteobacteria	Nitrospirae	Thermodesulfobacteria	Gemmatimonadetes	Proteobacteria-Betaproteobacteria	Firmicutes	Planctomycetes	Cyanobacteria	Actinobacteria	Bacteroidetes	Acidobacteria	Proteobacteria-Alphaproteobacteria	Chloroflexi	Proteobacteria-Deltaproteobacteria	Proteobacteria-Gammaproteobacteria	TOC (g/kg)
NB4_FDME210455355-1r	0	0	0	0	0	0	0.01827959	1.105100746	0	0	0	0	0.821835381	0.364140744	1.469141296	0	0	1.366829769	0	0	2.177637661	0.222439324	0	0	1.818169946	15.948117	0	8.555670746	3.077755422	0.335516394	3.872155249	0.909296619	10.48255008	0.708320748	1.477020426	10.33947727	2.448980782	0	0.516897266	3.31371238	1.795814196	2.595487806	1.945766979	1.111059378	0.815720549	5
WZ14_L1	0	0	0	0	0	0	0	1.072046234	0	0	1.003861341	0	0.794299705	1.065561332	1.308495799	0	0	2.134316492	0	0	1.059459347	0.112534233	0	0	56.5478151	0	0	25.25062181	25.28209776	0.842520115	2.916603412	1.022816792	15.09174189	1.415062353	1.735747337	0	5.56865437	0	1.00938798	14.17995139	1.475499177	2.441410023	2.101431833	1.573329685	0.787057097	6.16 
DY15_FDME210438613-1r	0	0	0	0	0	0.501624528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106380474	0	0	0	0	0	0.217198004	0	0	0.193559373	0	0	0.487959137	0	0	2.308465971	0	0.799092331	1.556032665	1.376899791	0.851966394	1.319620048	0.382641275	0.783493143	6.58
WZ5_L1	0	0	0	0	0	0	0	1.77083629	0	0	0.771762893	0	0.837673699	0.7983555	1.283845825	0	0	1.925526491	0	0	1.232771256	0.126384541	0	0	999.3598846	0	0	35.40584594	75.05545015	0.986365691	3.672122379	1.133566905	21.03904781	1.785405961	1.566918198	0	6.828705503	0	0.972908668	13.13583215	1.467086	2.539637706	2.237461462	1.706387158	0.812859802	6.61 
WZ1_L1	0	0	0	0	0	0	0	0.497226024	0	0	0.956882477	0	0.831548046	0.525485372	1.361860439	0	0	1.702194567	0	0	1.140964584	0.106117366	0	0	13.68916322	0	0	30.4713047	8.654863394	0.809314093	3.048376991	0.980608169	19.08088062	1.547918405	1.768602359	0	5.039921706	0	0.88078733	17.28420141	1.465790979	2.533971723	2.130173592	1.721753959	0.856831334	6.83 
DY6_FDME210438604-1r	0	0	0	0	0	0.651949301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.564684016	0	0	0	0	0	0.0160583	388.300176	0	0.16091742	0.082272398	0	0.716970768	0	0.004026289	3.318168056	0	0.238113043	1.36032478	1.775776595	0.727297839	1.397569245	0.604020127	0.458449471	7.8
WZ15_FDME210455471-1r	0	0	0	0	0	0	0	0.77031278	0	0	0.839370457	0	1.33003241	3.898775807	1.436706242	0	0	1.149228861	0	0	1.733971745	0.120008391	0	0	170.867061	0	0	0	52.96851062	0.701304404	5.702237416	1.057048501	23.59529522	1.981417277	1.683771286	7.096360372	2.762842063	0	0.701891276	46.17141989	1.409396084	2.093478037	2.07755053	1.975116068	1.859506331	7.98 
DY10_FDME210438608-1r	0	0	0	0	0	0.729352223	0	0	0	0	0	0	0	0	0.014705253	0	0	0	0	0	0	1.014906988	0	0	0.46207567	0	0	0.294098356	28.08099763	6.732649467	0.171133658	0	0	0.489610004	5.573372855	74.10114455	1.222876248	0	0.479493357	1.50845589	0.977265115	0.88376713	1.295321986	0.409214976	0.43787708	8.07
WZ10_L1	0	0	0	0	0	0	0	1.009259889	0	0	0.940217	0	0.607010182	1.042822676	1.500695042	0	0	1.727030171	0	0	0.980153784	0.096359231	0	934.2774383	13.88218963	548.8848757	0	39.37188264	6.850636974	1.179016477	2.765002518	1.165128692	19.16229937	1.367842547	2.004625432	0	5.073432947	0	0.997613305	14.30492498	1.708581642	2.760505835	2.284603035	1.682695302	0.805530729	8.59 
DD15_FDSW220008402-2r	0	0	0	0	0	0.58986232	0	0	0	0	0	0	0	1.060078182	0	0.724225849	0	0	0	2.166557817	0	0	0	0.17457912	0.011640953	3.422263981	0	0.147614393	6.861139967	0.22600044	0	6.146519559	0	0.923653727	1.189199691	0	4.73944373	0	0.883004479	1.145257099	1.05395123	1.791359396	1.799367738	1.353767928	1.296785685	8.94
