Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria TOC..g.kg.
Candidatus.Falkowbacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Chlamydiae NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Fibrobacteres NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Candidatus.Latescibacteria NA NA NA NA 0.419720988970769 0.113806341295762 0.331208460700199 0.648178716510162 NA NA 0.00122860945439141 0.727357860939718 0.00488801403948269 0.218738159801604 0.143102320816437 0.000321337294356683 0.755625373779471 0.0638847341710367 0.419720988970769 0.429318505083798 0.0329251780785826 0.056436967532921 0.419720988970769 0.647894875359331 0.569911765126585 0.0025618473237361 1.68300145677591e-05 0.0209740822613442 0.162768273790928 0.0858105341533104 0.0289585116193392 0.261997321093651 0.265961437730636 0.0451468900806078 1.27818043211825e-05 0.0120792807705243 0.00904506089174051 0.126027789540415 0.768483301850355 0.552861637896003 0.284166722560764 0.184307912532363 0.538014113780757 0.603560707159457 0.261744515039122 0.0202646224099654
Candidatus.Parcubacteria NA NA NA 0.419720988970769 NA 0.00868338005439906 0 0.000259980590398445 NA NA 0.0905856706129926 0.771949891958094 5.81388168674479e-06 0.817995498017419 0.224697229288886 0.00199497202105903 0.0350801002768506 0.000853965028215331 0.502651760606915 0.000502636098273168 0.000130247141615136 0.275779742592214 0.502651760606915 0.204720532100397 0.00122693977394217 0.58329114490286 0.224697229288886 0.0566435652408135 0.00264909563568194 0.586418347246973 0.387336613062772 0.158764601671715 5.52766806118932e-05 0.966960933908183 0.75866913376212 0.032013773937972 0.926379089542915 1.37212610560322e-05 0.00270625067372121 0.827821114948542 0.640608246345455 0.0254392013039044 0.00916880205642512 0.0273929533343966 0.00173464287281089 0.632091471128077
Calditrichaeota NA NA NA 0.113806341295762 0.00868338005439906 NA 0.0994791669555095 0.946914761964625 NA NA 0.23095033492622 0.377023689430729 0.473605920830307 0.496650736519275 0.0116599732871709 0.00477451167364062 0.0343854634952252 0.0323876146326345 0.884673114603673 0.0392832874412969 0.358862608292284 0.0445112262773293 0.0384850785320028 0.137382081656745 0.690408250487319 0.582862153791458 0.236889427436024 0.0223560348988732 0.0315851183101259 0.203348407831641 0.828136147642249 0.0279678648985249 0.235950573213049 0.329155713594084 0.00551739659007766 0.253670049944981 0.681940191785423 0.576122460218427 0.338547439207544 0.077751149128144 0.146743098898786 0.489877191243115 0.432601956210158 0.713642993368568 0.682236833997616 0.0011704215535131
Tenericutes NA NA NA 0.331208460700199 0 0.0994791669555095 NA 2.21842695191654e-06 NA NA 0.0407059930530078 0.727357860939718 8.78418520366964e-07 0.841935156126586 0.833138284589998 0.0473751921011432 0.204190046194225 4.9427593640905e-05 0.419720988970769 0.0132133277812447 5.87683941954964e-06 0.0485025233558032 0.419720988970769 0.126027789540415 0.000107426663924048 0.345453267895673 0.143102320816437 0.528071560383518 0.00364364456433042 0.941614722951776 0.73406056871622 0.106531523426442 7.09324504244435e-06 0.792929639526303 0.459039891354067 0.00240347595562374 0.762209802670259 0.000894472603924612 0.00187217487542712 0.366392032513353 0.421447833422657 0.00183579891489827 0.037027800717564 0.012929609222377 0.000726411174551522 0.764032520282201
Candidatus.Kariarchaeota NA NA NA 0.648178716510162 0.000259980590398445 0.946914761964625 2.21842695191654e-06 NA NA NA 0.213348938553781 0.524386956455633 2.22044604925031e-16 0.57257616609244 7.92499635033916e-05 0.994756340372338 0.885970357878261 9.88098491916389e-13 0.138603246089626 0.462781728214901 1.08033582080225e-11 1.07285134332002e-06 0.138603246089626 0.0426458689516083 2.44249065417534e-15 0.139497161300165 0.44514747409585 0.0633339934893247 9.19507740704262e-06 0.023485801888012 0.723956450834537 0.258706944592781 1.61319846370134e-11 0.457683057994302 0.845362309348021 0.0946279734400104 0.579999082914247 0.738734526670862 0.074646887883093 5.87116038563984e-06 0.887902545591314 2.11647134795712e-06 0.0944928385785686 0.055180532399917 4.86997077242535e-06 0.0783332684995088
Candidatus.Bathyarchaeota NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Spirochaetes NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
