	NH4...N..g.kg.	NO3...N..g.kg.	NO2...N..g.kg.	TN..g.kg.	TP..g.kg.	pH	SO42...g.kg.	Temperature..oC.	Salinity	Moisture....	TOC..g.kg.
Candidatus Falkowbacteria	1	1	1	1	1	1	1	1	1	1	1
Chlamydiae	1	1	1	1	1	1	1	1	1	1	1
Fibrobacteres	1	1	1	1	1	1	1	1	1	1	1
Candidatus Latescibacteria	0.56933273	0.001164243	2.03E-06	0.596696903	0.447950358	0.583635465	0.285085245	1.64E-05	0.571273964	0.003035934	0.330464258
Candidatus Parcubacteria	0.868427647	0.253042282	0.197014333	0.182115852	0.216191439	0.823632205	0.054384491	0.588726655	0.94925891	0.511407857	0.879499632
Calditrichaeota	0.37885019	0.489446214	0.044284632	0.945085903	0.00764207	0.551932072	0.984080604	0.568932316	0.697292642	0.608448386	0.002456498
Tenericutes	0.797683414	0.355629413	0.055115176	0.127993934	0.187372486	0.934229779	0.003105321	0.678546968	0.708401817	0.19955227	0.767739881
Candidatus Kariarchaeota	0.033288484	0.52818933	0.407611539	0.000611164	0.001298952	0.358221544	0.037634961	0.000400842	0.020480047	0.176081777	0.038971603
Candidatus Bathyarchaeota	1	1	1	1	1	1	1	1	1	1	1
Spirochaetes	1	1	1	1	1	1	1	1	1	1	1
candidate division WWE3	0.658399784	0.614528182	0.191851152	0.01245	0.490846378	0.811244431	0.001574879	0.624722713	0.003427315	0.047495559	0.05593903
Candidatus Rokubacteria	0.692510122	0.801535692	0.886731674	0.491720096	0.432216063	0.122638847	0.462627644	0.135244145	0.894543673	0.94831601	0.333187461
candidate division Zixibacteria	0.323027958	0.053497716	0.454834674	0.002752149	0.011165633	0.375403301	0.75512875	0.311270286	0.242902958	0.597119562	0.611209839
Candidatus Schekmanbacteria	0.722502753	0.172271284	0.750629551	0.920891155	0.474309706	0.966225376	0.695490481	0.76915394	0.470040368	0.784855083	0.987405229
Candidatus Dadabacteria	0.163299518	0.727461968	0.195434037	0.001773884	0.023230007	0.130897364	0.001119632	0.314701895	0.015996466	0.024608906	0.008690684
Candidatus Krumholzibacteriota	0.89364931	0.856898723	0.888556309	0.93786045	0.450644938	0.425606706	0.315054147	0.748063411	0.465225908	0.20887103	0.608016521
Candidatus Hydrogenedentes	0.169817498	0.380048233	0.859038552	0.95091004	0.102751457	0.00011533	0.266949597	0.100417346	0.7370864	0.292705363	0.620019834
Nitrospinae	0.007200483	0.499641732	0.063507559	0.000348051	0.002215648	0.162510564	0.456297093	0.137131565	0.061278133	0.658703114	0.00588108
Euryarchaeota	0.433253606	0.143647369	0.203023159	0.102119037	0.817933337	6.94E-08	0.373601749	0.000191163	0.053154519	0.395853905	0.893123111
Ignavibacteriae	0.808002942	0.752693886	0.416280713	0.186999168	0.017148781	0.684143678	0.020181036	0.505906167	0.297904078	0.208337459	0.353771187
Deinococcus Thermus	0.78963602	0.05502035	0.797015976	0.006398382	0.019222334	0.042835099	0.094497583	0.581519921	0.001686583	0.00233493	0.923677061
Thaumarchaeota	0.085508062	0.110413982	0.435948242	0.095842057	0.249296313	0.199119249	0.154344261	0.880755131	0.054891116	0.042241739	0.090633215
Rhodothermaeota	0.056292002	0.40428814	0.758202983	0.85356547	0.32045166	0.000378595	0.54902455	0.354345711	0.550360328	0.134296226	0.612415877
