	NH4+ -N (g/kg)	NO3- -N (g/kg)	NO2- -N (g/kg)	TN (g/kg)	TP (g/kg)	pH	SO42- (g/kg)	Temperature (oC)	Salinity	Moisture (%)	TOC..g.kg.
Acidobacteria	0.098786841	0.43088509	0.004538359	0.373731831	0.054280489	0.100843058	0.000129816	0.063239683	2.66E-05	0.614665325	0.200648211
Actinobacteria	0.937783049	0.530724721	0.004438639	0.028197936	0.429197778	0.065649545	0.084037814	0.95490963	0.894305986	0.801943263	0.706193153
Alphaproteobacteria	0.598580032	0.056940986	0.669451775	0.105300748	0.594339119	0.286427486	0.013705389	0.082854023	0.000142691	0.108389698	0.237486985
Bacteroidetes	0.000105762	0.104670714	0.365133223	0.00804814	0.008366695	0.150459062	0.205785827	3.47E-06	0.433370128	0.817045712	0.090151564
Betaproteobacteria	0.962640594	0.03859843	3.61E-06	0.442810592	0.000125967	0.015177495	1.80E-06	0.039099891	0.000722322	0.030144591	0.012669595
Calditrichaeota	0.04863662	0.694347861	0.987635874	0.56994673	0.011406789	0.521878446	0.636185544	0.094602848	0.742060772	0.285997977	0.001170422
candidate division WWE3	0.989681557	0.285851568	0.012390833	0.031337962	0.707486466	0.758384902	1.60E-08	0.062311948	0.000652864	0.0031921	0.060793485
candidate division Zixibacteria	0.091651754	0.062601215	0.353964339	1.68E-05	0.000618859	0.704489526	0.007452437	0.085692487	0.000280459	0.00924458	0.549481321
Candidatus Aminicenantes	0.310472703	0.160331208	0.001860415	0.045084394	0.006652797	0.001830679	0.469313145	0.801523598	0.036889513	0.162888576	0.028223388
Candidatus Bathyarchaeota	1	1	1	1	1	1	1	1	1	1	1
Candidatus Dadabacteria	0.227342299	0.559336759	0.686309916	0.000303772	0.00168679	0.28561228	0.000695484	0.949275466	0.00086024	0.02253189	0.002435744
Candidatus Eisenbacteria	0.0218038	0.268899869	0.000782466	0.414477084	6.19E-06	0.21919642	0.910229043	0.000339406	0.93540485	0.288344377	0.000105542
Candidatus Falkowbacteria	1	1	1	1	1	1	1	1	1	1	1
Candidatus Hydrogenedentes	0.228164528	0.016045435	0.000901003	0.551134429	1.89E-05	0.000112638	0.00552666	0.002692557	0.00316063	0.473667252	0.033269379
Candidatus Kariarchaeota	0.021904152	0.390839366	0.054309603	4.92E-05	6.36E-06	0.826668544	0.015716176	0.006333746	9.00E-05	0.039427523	0.078333268
Candidatus Krumholzibacteriota	0.071027445	0.008360425	0.98253562	0.056480315	0.129322903	0.209512666	0.421723048	0.841033597	0.664419127	0.044592996	0.012605384
