Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria Candidatus.Falkowbacteria.HOST Chlamydiae.HOST Fibrobacteres.HOST Candidatus.Latescibacteria.HOST Candidatus.Parcubacteria.HOST Calditrichaeota.HOST Tenericutes.HOST Candidatus.Kariarchaeota.HOST Candidatus.Bathyarchaeota.HOST Spirochaetes.HOST candidate.division.WWE3.HOST Candidatus.Rokubacteria.HOST candidate.division.Zixibacteria.HOST Candidatus.Schekmanbacteria.HOST Candidatus.Dadabacteria.HOST Candidatus.Krumholzibacteriota.HOST Candidatus.Hydrogenedentes.HOST Nitrospinae.HOST Euryarchaeota.HOST Ignavibacteriae.HOST Deinococcus.Thermus.HOST Thaumarchaeota.HOST Rhodothermaeota.HOST Thermoplasmatota.HOST Lentisphaerae.HOST Kiritimatiellaeota.HOST Candidatus.Aminicenantes.HOST Candidatus.Eisenbacteria.HOST Unclassified.Bacteria.HOST Verrucomicrobia.HOST Other.Proteobacteria.HOST Nitrospirae.HOST Thermodesulfobacteria.HOST Gemmatimonadetes.HOST Proteobacteria.Betaproteobacteria.HOST Firmicutes.HOST Planctomycetes.HOST Cyanobacteria.HOST Actinobacteria.HOST Bacteroidetes.HOST Acidobacteria.HOST Proteobacteria.Alphaproteobacteria.HOST Chloroflexi.HOST Proteobacteria.Deltaproteobacteria.HOST Proteobacteria.Gammaproteobacteria.HOST
Candidatus.Falkowbacteria NA 0 0.98160432552356 0.363839394786945 0.590372861103187 0.104535000646418 0.392233481488631 0.990925093952856 0.741961569057612 2.91772654925637e-08 0.000712233739507795 0.958768121652698 0.939359673867085 0.451073236249732 1.2723194231512e-07 0.134492671025416 0.28729742294065 3.10842371842313e-06 0.555916601177092 0.000184752956612577 0.733537151590863 0.00172712713908196 0.382967317901305 0.222373981863348 0.00529888446487581 0.000946147040839396 0.450249228636131 0.929548091445835 0.0400510269336483 0.783775065531646 3.46373246351561e-06 0.823942147767822 0.00277717302129332 0.00302386201007598 0.356816208652026 0.213768561716642 0.504653548367218 0.563984100001793 0.000298852849729192 0.0357469516125088 0.490095162665634 0.000131285488613742 0.21396255102791 0.870438230053574 0.184869874565952 0.431872880431284 0.462836621236331 0.499303359676937 0.740643932920676 0.37861438842545 0.126647293314954 0.268571054861859 0.848952503868131 0.463536799554286 0.471825991958002 0.00277609705079351 0.263870097477924 0.862197730678049 0.705787807200799 2.22436780994428e-07 0.32016250396799 0.121911268850855 3.11716985432753e-05 0.52171795942256 0.151503416613379 0.937144209729409 2.69872312230746e-06 0.305203799650906 0.290265889542968 0.234396657881383 0.193064506307721 0.48906566424385 0.227601050607221 0.203171405916856 0.00350291979347217 3.97451232991841e-05 4.154071988971e-05 0.599169367921227 0.987381360733756 2.58742216685537e-05 0.250198562093846 0.541814944680023 0.413981888999213 2.18087863324001e-07 0.0096235880498885 0.440865911195299 0.912930497571514 0.604147508384707 0.539911489941737 0.00202936473395887
Chlamydiae 0 NA 0.991244389547848 0.405377051573701 0.625179143070814 0.121251611626006 0.437570206605278 0.955767675471656 0.673426356141821 1.83442594448024e-10 0.00143630229473457 0.999953101466683 0.917706651658895 0.53214658011585 1.32101152461317e-07 0.164671531287387 0.324036777856785 1.00932674129695e-06 0.59303014759383 1.52713745091848e-05 0.791593183269003 0.000592002590082519 0.428595672050185 0.147778587055852 0.0051034168136217 0.000723833779747274 0.491286873099372 0.967436826539725 0.0207681370562751 0.684138423760684 3.1820374881697e-06 0.909653244202403 0.00261597590602736 0.0026626146769777 0.372414634438208 0.293587542513092 0.428370758287528 0.616182597475669 0.000426993117348395 0.00872193982233438 0.479093385815465 7.02339506397642e-05 0.193035058378814 0.934006895730314 0.166456882774487 0.475718746814588 0.505270009841344 0.539829151074614 0.762632117024062 0.411996133720038 0.148697191544831 0.315562707241759 0.927713782207698 0.505935950950131 0.513812471726895 0.00261157271837842 0.299892805417036 0.869544617523633 0.747927036243731 1.90799318122714e-07 0.297432586264778 0.132125836644983 4.38419575332638e-05 0.560953778033057 0.172072751846971 0.975779529851618 8.29537706970029e-07 0.34767467760736 0.343666595462452 0.278116087877379 0.228549151208892 0.526824872555059 0.273375166511493 0.273012141789328 0.0128741858459618 0.000115155853453786 6.17883799822749e-05 0.576136236769169 0.993451761132693 6.09543547385183e-05 0.318715073349793 0.584107605922727 0.449271076901967 1.20965083283409e-06 0.0140082973624138 0.426354891675141 0.924905301014712 0.539979084208708 0.6720149507941 0.00459051127390131
Fibrobacteres 0.98160432552356 0.991244389547848 NA 0.350881745436491 0.584001582183571 0.0926207824544603 0.436323624736776 0 0 0.271465471661376 0.571482155342403 1.73194791841524e-14 0.966712160302706 0.0594629626926233 2.08721928629529e-14 0.118938701040156 0.266985660223579 1.37976297054365e-10 0.54914344483062 0.00868531408118334 0.183604511435433 1.07913677993565e-13 0.374821560544674 0.494440576479696 1.32103217254098e-11 0.157655462923529 0.440382659816883 0.740892527637027 3.92715543195976e-07 0.446688605033246 2.53130849614536e-14 0.695868073621258 2.22044604925031e-16 0.644560387856065 0.288582203857321 0.996290965137188 0.0516900230530739 0.558219469676049 0.00321462196889444 1.57685079877901e-05 0.616280017909482 0.04088951974961 0.686681317532838 0.249557663347962 0.523704820759968 0.423985304324795 0.455171110809975 0.491950283418427 0.734998388473387 0.357685966582828 0.105080307968968 0.184213138419059 0 0.455876788354355 0.464232617618848 0.569031768282855 0.24499707875702 0.631122170541287 0.138630888828524 3.07049941028481e-11 0.117719456045047 0.107586421627242 1.14409638651836e-07 0.514581589389042 0.125450698812543 0.904284806835354 3.22464969038094e-06 0.2923213741752 0.273054222956835 6.65276722600083e-11 0.00493401558378403 0.478073666901203 0.283857764983011 1.38840567689424e-05 0.000236853765257061 1.73675869041823e-06 0.000156724429691391 6.01571770175724e-09 0.855909158861996 4.4522296960281e-10 0.835207286653857 0.178153485948125 0.396301540690446 1.04854080973382e-09 0.300033084341453 0.543148964928467 0.209179077307222 0.748373845468406 0.416109652348287 0.256404896248587
Candidatus.Latescibacteria 0.363839394786945 0.405377051573701 0.350881745436491 NA 0.00518162704477376 0.147169436402342 1.8421046782624e-05 0.865865411935874 0.400383047699747 0.0481190463869121 1.29552140126776e-07 0.0218355215250348 1.76804926255159e-08 0.93579648177801 0.199540488551329 0.373641199296455 0.560539101352984 0.555092261052023 0.55179715238809 0.7688263109006 0.88780219922196 0.746295567510598 0.378006155165193 0.176325833313956 0.0561620522222364 0.014950138279167 0.00120587172612696 0.0361353400718687 0.00127289940115061 0.613011288714823 0.477213446970531 0.182053637731366 0.019216003461034 0.569329722287155 0.769452057743477 0.259231283963916 0.480544217560902 0.472203632698851 0.0714716624434821 0.124997524704884 0.413144316190517 0.884867087424319 0.0373482795906508 0.160700462461927 0.791409854893015 0.427071275998107 8.68351916341048e-05 0.494829558486894 4.6207482284899e-13 6.60689382758761e-06 0.572838744061566 7.19428656077437e-05 0.716955049031679 0.458874985574276 0.000589900450932213 7.74698660777062e-09 0.248159156986803 1.39809094745758e-07 0.787630403272988 0.125274899818215 0.490685853550456 0.00551668529091076 0.343045859415021 0.517376676580064 0.11815706331881 0.703823498117169 0.106956572041022 0.295548261621408 0.318803738556091 0.017106842289937 0.00195190720473226 1.96204080316065e-07 0.443034110100815 0.65965920686314 0.257761741438102 0.501567482944515 0.228111549636441 0.000391244237273769 0.453042140746834 0.920323096051481 0.325656583185463 0.998821167638799 0.491169166821376 0.418527012143052 0.0731593584121801 0.45197498047748 0.368094495427177 0.186835131713529 0.000771509146684668 0.130845100328858
Candidatus.Parcubacteria 0.590372861103187 0.625179143070814 0.584001582183571 0.00518162704477376 NA 0.00177848009643933 1.07942789373539e-07 0.341548896157066 0.610715377151986 0.376056171709978 0.551147560875016 8.26117486996125e-05 0.34993714805444 0.272479154888212 0.45208402501542 0.197371178355285 0.973244232740181 0.0183791563885736 0.726647306033256 0.14617568737887 0.919295277713358 0.327064121309524 0.604792740272347 0.0144561939474659 0.000110436847255979 0.0353004874594791 0.652660015418626 0.220778691052687 0.00122926582457161 0.0669542616699235 0.11207807270989 0.438236252520941 0.236567691601871 0.640337655277202 0.934409763988776 0.00946631780022589 0.491128844595276 0.663318622046071 0.369157423809994 0.0367912850207381 0.594001522606269 0.0689894434841476 0.258275099002277 0.734643746951557 0.641891730530415 0.640961472529379 4.38680709535788e-08 0.688449344172902 0.843344783755123 0 0.124808662012088 5.12972886390628e-09 0.238595781270121 0.66356578011779 0.000821285502109248 0.575594824191251 0.498233500018875 0.966615285024302 0.314470203443107 0.369476442457722 0.867761896597893 4.78892112631968e-08 0.0200114074119147 0.703733672985832 0.0240069775414249 0.682387766839962 0.0250511253686709 0.539400882256861 0.522314790828122 4.78622035582354e-05 0.00514255217240978 0.678956846896289 0.448276618799255 0.409118559095743 0.0398504525555805 0.0311440652489807 0.755999659598858 0.782581034843556 0.727960647816976 0.238378312849346 0.0250878185742442 0.853065813782772 0.669478942641718 0.571584069769404 0.119179134010922 0.577990929581045 0.934221566220988 0.90953882151332 0.040285924211541 0.286343853080691
Calditrichaeota 0.104535000646418 0.121251611626006 0.0926207824544603 0.147169436402342 0.00177848009643933 NA 0.00370468749644659 0.394671739831288 0.126887331615053 0.0112268651804666 0.382427459040218 0.328683781855584 0.933168490862178 0.0569520273165971 0.0203076422414916 0.856598481933455 0.282019901447814 0.206148465372356 0.288467415548832 0.153012879840597 0.554702764288412 0.187771414785882 0.100447063637955 0.782445870576795 0.60969109992999 0.736123392782248 0.271738051683134 0.126204307773452 0.334480139181335 0.0208085612737361 0.134455906683713 0.536048746778744 0.0918257286107411 0.00256633691910202 0.0266573257142193 0.870664847139551 0.0366423101205475 0.177310340213013 0.0420255398234732 0.771771482881694 4.77053325731447e-08 0.265135379556162 0.0704034865267213 0.260609490449704 0.160102651316398 0.139284449235146 0.00718495609261671 0.204301928618332 0.925727275400022 0.000331611969329071 0 0.00671988382955391 0.485161068676427 0.168174336079754 0.0546073285999158 0.432678087673496 0.354993039893715 0.552115976236893 0.328244894486978 0.637669745046245 0.219310561728583 1.67636344805544e-08 0.393728375733729 0.258245256915734 0.894629876569825 0.0354503803598401 0.328229898923816 0.33757494706319 0.0509939228645997 0.244105775181264 0.0649915286112135 0.395998124359271 0.0240056217451903 0.00472315947683111 0.825700978784953 0.0123928207419044 0.19098499197518 0.0761838001767552 1.06373295194473e-06 0.0224728280558095 0.654715970209514 3.58104292170758e-05 0.23736931758436 0.638693430532398 0.0800318285638137 4.78827830718842e-08 0.000102498933296946 0.00259490664845385 0.994030115788542 0.645691363842852
Tenericutes 0.392233481488631 0.437570206605278 0.436323624736776 1.8421046782624e-05 1.07942789373539e-07 0.00370468749644659 NA 0.081348409156456 0.522095998075325 0.168908781210825 0.343546237054268 1.38770512858599e-08 0.360102987984493 0.0364888388459967 0.254565573293835 0.154386090173621 0.972740972497948 1.52189799078606e-05 0.578716478971616 0.00272911375095841 0.793519374072682 0.36114596203376 0.410803814723525 0.00577868004614523 4.67061944675606e-09 0.00301846752958523 0.474552402740825 0.051826653783539 1.89015239115964e-05 0.00577584670979592 0.0200854063291813 0.207909979276796 0.103456402699841 0.438291546486 0.937886055573213 2.30826143088336e-07 0.405858112001554 0.550565167098017 0.163154764728981 0.0120479455526556 0.380122869534953 0.0121416469032731 0.0921001131744803 0.746167648048549 0.330337832606342 0.458686657711518 4.44089209850063e-16 0.525311887974379 0.753693082159491 0 0.10652502890607 0 0.0405608644057627 0.491274556203811 0 0.373551081634237 0.281386424589439 0.99795566457035 0.10787460133836 0.170133374165161 0.645659138910228 3.5527136788005e-15 5.50403166421631e-06 0.545796002607832 0.000211102725195644 0.481663125007713 0.00558462177055596 0.32916349649149 0.308975246347642 3.02424751907893e-12 0 0.510847480213494 0.228268125184363 0.202433777230982 0.000710700923111318 0.000557154523873837 0.618807375029222 0.523982073176761 0.562093944728996 0.0752279111473138 2.69215283843494e-06 0.888180018909869 0.600089287638097 0.382803761755049 0.0442172376796317 0.337542559221367 0.851099031019418 0.965408236104735 0.00792322120967315 0.208756707338993
Candidatus.Kariarchaeota 0.990925093952856 0.955767675471656 0 0.865865411935874 0.341548896157066 0.394671739831288 0.081348409156456 NA 0 0.291197492921373 0.445191289767794 0 0.749492352522347 0.0223551656502385 8.88178419700125e-15 0.265723577959981 0.275429640949665 6.21724893790088e-15 0.459910891122888 0.000832029629054265 0.121608190689211 8.88178419700125e-16 0.273310756288441 0.1291155858961 0 0.00578431918109734 0.342149070347598 0.336909286685288 2.42716957643552e-12 0.957048245668038 0 0.481084851848258 0 0.640988324972522 0.244296918390877 0.16509015129347 0.0375432749715559 0.460683486649076 0.0805901755995806 1.33614962427586e-07 0.528167138182012 0.00188743966176164 0.238791855854777 0.269247537904339 0.642027567346467 0.32378971025384 0.232962073223453 0.396498331026392 0.678520544562073 0.161633535849352 0.252516479376055 7.21705264741246e-05 0 0.357516410703043 0.142456509997963 0.453091515909716 0.150946542774715 0.592263147207979 0.0706158257118426 2.38764563675886e-11 0.101808530317239 0.804571864445069 3.82538445364844e-12 0.421367998210717 0.588252290869801 0.98911641744499 7.96176924389158e-09 0.193455286455845 0.175833246742512 0 3.95060695268512e-08 0.383517023862706 0.16742704097926 1.52090297396157e-05 1.18480764754736e-06 2.56863597059009e-09 9.52691061490984e-05 1.3300138768102e-09 0.762636326374118 3.36486394303392e-12 0.285556092956908 0.122284835113347 0.327969900158259 7.20068449311384e-11 0.719986276753887 0.43272103059723 0.268040126602769 0.572779252597192 0.886991223852722 0.0627939932840753
Candidatus.Bathyarchaeota 0.741961569057612 0.673426356141821 0 0.400383047699747 0.610715377151986 0.126887331615053 0.522095998075325 0 NA 0.0743101523011953 0.826667392223148 1.7055756806883e-10 0.843901421738077 0.120565176021195 6.50208775709871e-11 0.205427941702748 0.306895037182582 4.62268041623304e-08 0.703018672055381 0.0176424220698439 0.31601111283645 4.43360903545909e-11 0.405720732731218 0.381063269331964 5.82658499226341e-09 0.270202844763154 0.491293515928257 0.872263167571269 3.5807080378536e-06 0.53118820187328 3.75566244770198e-12 0.891979678813256 1.98978611365419e-11 0.894600504911538 0.303854077648876 0.870857172267922 0.132482156962688 0.576602319384586 0.116461127589015 1.2155542226111e-05 0.720569543093961 0.0242471268178939 0.508316738338362 0.631496068963547 0.938436672963109 0.453805893696827 0.505886272078008 0.519646708328805 0.755487765918879 0.421130730320783 0.149636636535713 0.386536715255246 0 0.484783235907446 0.519446128009772 0.809449413123193 0.293767835388548 0.621330165718006 0.245775745770879 4.31761315589085e-09 0.162719761514394 0.178257051576477 2.6885952575384e-08 0.700754368340758 0.18095773791567 0.957666720172057 3.31124952968054e-06 0.33709457422864 0.462436140508758 3.85261889057631e-08 0.003227202016717 0.524269820950806 0.315661898284225 0.00209738997609499 0.0228879689291843 8.88341857598896e-05 6.40947731005426e-05 8.43962323671121e-06 0.860388507643699 3.00503080197245e-08 0.987419513206093 0.32946454839119 0.42731810553263 4.47567275019267e-07 0.300463621207481 0.625299663585167 0.288175417732856 0.663642735010042 0.587527210205443 0.201961802023069
Spirochaetes 2.91772654925637e-08 1.83442594448024e-10 0.271465471661376 0.0481190463869121 0.376056171709978 0.0112268651804666 0.168908781210825 0.291197492921373 0.0743101523011953 NA 5.91768624458311e-06 0.813168972461042 0.0444621340493365 0.57172646964463 0.000535000905257821 0.223884951410103 0.0866723498980819 0.0106933313712616 0.799528768245077 0.117603967092878 0.953383717011066 1.12452269718233e-11 0.150497863910054 0.196738943365232 0.0839127615412991 1.37796171406634e-05 0.287947703918643 0.608129575406291 0.0260155377971916 0.171008486737904 2.28308652872045e-07 0.558569885245294 8.74229230940493e-06 0.180165280605289 0.108171660594143 0.165370631705665 0.766804318971385 0.262660146900269 0.198595363317001 0.0115058283633949 0.93501299053983 0.274515773023936 0.0020815040741895 0.0786629689676688 0.0011458467449148 0.1955106190342 0.226782111323519 0.26622493845493 0.199986842199502 0.197390382543585 0.01617705623201 0.127198542190507 0.314063661246698 0.227513228063389 0.236247750512891 1.48851597057131e-05 0.0619160160904966 0.0117216470411414 0.102173617442434 0.00183912615974524 0.0319157700091457 0.0219619937081106 0.0298145047841345 0.715867275469463 0.0638001704490649 0.928944320538541 4.44089209850063e-16 0.0875605365245444 0.734209843742358 0.779812573919017 0.857979557873432 0.354563900544441 0.109231479753423 0.833961977574096 0.0842370697022772 0.00305032389475413 0.000832710437939976 1.14746834256607e-09 0.360604670427332 0.00331377442157343 0.0865186714528305 0.281450412132074 0.169501937671779 0.0171541071091097 0.0110002260854161 0.918176230410651 0.0923195376008068 0.113080186541743 0.29513373843631 1.06123843490735e-07
