Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria TOC..g.kg.
Candidatus.Falkowbacteria 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Chlamydiae NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Fibrobacteres NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Candidatus.Latescibacteria NA NA NA 1 -0.103459064008162 0.201212504530012 -0.124435665914221 0.0586118507482511 NA NA 0.398204056565234 -0.0447998534549413 0.350277288783139 0.157133499345242 -0.186600853686567 0.438805217351849 0.0399965976823144 -0.234879802950129 -0.103459064008162 0.10134851612542 0.269141329672637 0.241605142549086 -0.103459064008162 -0.0586624771130123 0.0729494595658961 0.373592482256063 0.513439472372433 -0.290355506443707 0.17801355156245 -0.218191089366308 0.275335645127119 0.14345905268362 0.142285384922143 0.253329472304927 0.519592545432928 -0.314439101692896 -0.326350296063597 -0.194805364509325 -0.0378300653207566 0.0761879920180819 -0.137040462562606 -0.169443501878552 -0.0790472411411623 0.0666864872398453 -0.143534305978638 0.291914347719328
Candidatus.Parcubacteria NA NA NA -0.103459064008162 1 0.327994527586277 0.857419925480797 0.444780085568817 NA NA -0.215015790780628 -0.0372477687333319 0.536574478340786 0.0295788616292262 -0.155144825430069 0.382181362345941 0.266033731041439 0.409726959359969 -0.0860185690879301 0.425817331417592 0.463540142409801 0.139428075329611 -0.0860185690879301 -0.161966270102954 0.398247908580567 0.0704396608218432 -0.155144825430069 -0.241409154727308 0.372424757786167 0.0698568465666885 -0.110794207345109 -0.179696862719392 0.485389448990294 0.00532504992311861 -0.0394827501915803 0.270506957720869 0.0118789575208031 0.518017835723987 -0.371678244153058 0.0279565120963727 0.0599652107559009 0.281459609878683 0.325800890969267 -0.277977846467413 -0.38688535787581 0.0614955621370665
Calditrichaeota NA NA NA 0.201212504530012 0.327994527586277 1 0.20943593077232 0.00855975677148193 NA NA 0.153097150674472 -0.113205692056615 0.0919357139692248 0.0872260913482494 -0.315918602887104 0.35115573553905 0.267017653855074 -0.269942923598541 -0.0186461126512442 0.260403460721053 0.117550972977063 0.254058426127367 -0.261432885095337 -0.189263129767292 0.0511730591790994 0.0705197220654732 0.151187580488165 -0.287443446859751 0.271160509800924 -0.162451760254232 0.0279045688657488 0.276993163151894 0.151487228598428 -0.124960827229751 0.345709630414732 0.145964125560538 -0.052650576852718 0.0717810805924759 -0.122574692712288 -0.223881664725449 0.184947621570419 -0.0885982120831943 -0.10063262964953 0.0471520929646509 -0.0525987043632079 0.399764935497011
Tenericutes NA NA NA -0.124435665914221 0.857419925480797 0.20943593077232 1 0.556162543098239 NA NA -0.258610817373618 -0.0447998534549413 0.573890683779133 0.0256335960198487 0.0270803959998646 0.250838983300473 0.162153694051945 0.488134556471185 -0.103459064008162 0.310649137225689 0.536348378741878 0.249615431867023 -0.103459064008162 -0.194805364509325 0.468580829743666 0.120846483412218 -0.186600853686567 -0.0809835085999454 0.361091626428649 -0.00941578808719297 -0.04365562758883 -0.205281185884296 0.532372697031551 -0.0337391396523492 -0.0949759667616271 0.375805825847927 -0.038885788073894 0.408281417015463 -0.384327070590058 0.115733606812687 0.103077304585613 0.384986897310769 0.263358838459732 -0.311570177519673 -0.414723088190806 -0.038578794899013
Candidatus.Kariarchaeota NA NA NA 0.0586118507482511 0.444780085568817 0.00855975677148193 0.556162543098239 1 NA NA 0.158964946417559 -0.0817056494017238 0.818090331010293 0.0724475045214812 0.476384820738824 0.000844913751798011 0.0184349577802345 0.753927719997405 -0.18868789425357 -0.0941900286026233 0.730517994672146 0.570150767486349 -0.18868789425357 -0.256248164916209 0.80309560240106 0.188269220129001 -0.0979251259955072 0.235354789821754 0.526804103747466 -0.285174107961788 0.0453818349712588 -0.144442363328878 0.726339882356983 0.0952618205977645 0.0250708067094056 0.212428889131068 -0.0710547368032969 0.0428597316763327 -0.226198793991527 0.536368680852508 0.0181205414819161 0.557088052940324 0.212513959074752 -0.242809759916424 -0.540270188863338 -0.223455367593061
Candidatus.Bathyarchaeota NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Spirochaetes NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
