Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria TOC..g.kg.
Candidatus.Falkowbacteria 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Chlamydiae NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Fibrobacteres NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Candidatus.Latescibacteria NA NA NA 1 -0.0421705282973234 0.00396225504968498 -0.0648847408637022 -0.0904835898424548 NA NA 0.140594430177668 -0.0259395199608183 0.0436173840155528 -0.0108383292955485 -0.103232650035388 0.0135978139066407 -0.0592490538393826 -0.126630571230939 -0.0581019947649469 -0.0209564435699441 0.0963854764035193 -0.0279032197576671 -0.0585278614661395 -0.0220420493072811 -0.0322017006710621 -0.0250059249480118 0.337575168541655 -0.0816819908452388 -0.00823102884526675 -0.0782468150342706 -0.0238725424017863 -0.0740797647503974 -0.0281852703876021 -0.0185227772208866 0.239217109826646 -0.0991780261546851 -0.0344467860497658 -0.0682698289311687 -0.0552397122884883 -0.0436303408662925 -0.0271342475210859 -0.0310885614788011 -0.0564592526767926 0.0259065773018534 -0.0365627175522772 0.124625819809441
Candidatus.Parcubacteria NA NA NA -0.0421705282973234 1 0.090465615620847 0.658962192768312 0.290285996063089 NA NA -0.130510394632248 -0.0262213723412981 0.739237350193401 -0.0153229249553281 -0.104354350367532 -0.00465650229632254 -0.0496180122075771 0.257539383627069 -0.0587333166074428 -0.00312583762536218 0.430461583266327 -0.0384419760473253 -0.0591638106704248 -0.0279350322757318 -0.0301938277857931 -0.0405028592333562 -0.101580681686681 -0.082569527067838 0.063819354559928 -0.0606820418999257 -0.0329390851500048 -0.0948466006557954 0.575186646244372 -0.0405842503198563 -0.0642400324100226 0.0791265882291135 -0.0298117290410601 0.126465020818107 -0.127393205595658 -0.062585693347543 -0.0272280370556312 -0.0104069282250576 0.0525559829977025 -0.249959222793725 -0.175614986687762 0.0194887046476279
Calditrichaeota NA NA NA 0.00396225504968498 0.090465615620847 1 0.106090109270877 0.0530758811691064 NA NA 0.133727641795947 -0.0746521342574572 0.0551090478219533 -0.043358704053912 -0.229837416735676 -0.0708077181586194 -0.143359678689178 -0.216406257380551 0.0376863433534473 0.50746021883996 0.00849647510412437 0.0565855089763836 -0.168439114469806 -0.077524324917567 -0.092738726328544 -0.118448227347878 0.0554211084997552 0.0618304419790556 -0.00485022553566223 0.0524006276787497 -0.0707983298440853 0.199319602065078 -0.00315018405175501 -0.104188419494189 0.109678649873795 0.010281392051897 0.321105600781328 -0.0985304442156038 -0.086351808728487 -0.193920836557573 -0.0763620973364089 -0.0457584379828259 -0.158812817739778 0.0834080513709311 0.000372916416173731 0.375050690261894
Tenericutes NA NA NA -0.0648847408637022 0.658962192768312 0.106090109270877 1 0.458375012653855 NA NA -0.200806901825568 -0.0403449285116915 0.816820519628772 -0.0488332125105337 -0.088727298356363 -0.0113278843847763 -0.0780227334329193 0.407427016599862 -0.0903687049228072 -0.00565900877812939 0.68807381274193 -0.0507793882557585 -0.0910310749913776 -0.0429816130699284 -0.0470511784265137 -0.0657651951772885 -0.156294845573867 -0.102004459872973 0.059230602579072 -0.0968198568006655 -0.0503686485057472 -0.148082704912672 0.758417023107348 -0.0619038961821631 -0.0992755476349954 0.109365025654235 -0.045994659335921 0.177406841179189 -0.18509723171486 -0.0821982869241549 -0.0418296798846886 -0.0137315187350029 0.070285173294279 -0.281533891758257 -0.267815658210917 0.0379550389008982
Candidatus.Kariarchaeota NA NA NA -0.0904835898424548 0.290285996063089 0.0530758811691064 0.458375012653855 1 NA NA -0.00907760154273929 -0.0722156277517718 0.63932044909525 -0.0630695831196443 0.502504483256133 -0.0711048424354952 -0.149073338989174 0.760555012107874 -0.161755962790316 -0.108562471317367 0.612150570376781 -0.0556779187273452 -0.162941575755077 0.1931934169281 0.437783222059581 0.082875781441992 -0.184671039000619 0.346138967056115 0.0715427190719563 -0.254067267830193 -0.0881869662082329 -0.248373689633141 0.721163838373864 -0.101314341981495 -0.09689271691968 0.0369881642789574 -0.081884522767391 -0.0366547938440979 -0.233908365778406 0.240515191662459 -0.0750843001436933 -0.0230814052177768 -0.043130863037529 -0.238590595652182 -0.361681966651129 -0.260803350565185
Candidatus.Bathyarchaeota NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Spirochaetes NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
