	NH4...N..g.kg.	NO3...N..g.kg.	NO2...N..g.kg.	TN..g.kg.	TP..g.kg.	pH	SO42...g.kg.	Temperature..oC.	Salinity	Moisture....	TOC..g.kg.
Candidatus Latescibacteria	-0.058796769	-0.326586729	0.463048747	0.054682688	0.078355666	0.056635371	0.110211786	-0.424330807	-0.058501944	0.299467453	0.12462582
Calditrichaeota	0.090820236	-0.071389355	0.205779289	-0.007123159	0.27069256	0.061461075	0.002063507	-0.058857641	0.040210546	-0.052942157	0.37505069
Tenericutes	-0.026505857	-0.095310981	-0.196413324	-0.156435771	-0.135712115	-0.008534246	-0.298796628	0.04284106	-0.038663756	-0.132083869	0.037955039
Candidatus Kariarchaeota	-0.217489261	-0.06516307	-0.085482952	-0.343520573	-0.323612125	-0.094800901	0.2125213	0.354110722	0.236258195	0.139231905	-0.260803351
candidate division WWE3	0.045699097	-0.052047474	0.134358668	-0.254191463	-0.071159964	0.024694328	0.318305377	0.050555818	0.295849499	0.202821452	0.242079913
candidate division Zixibacteria	-0.101935592	-0.197709711	-0.077176175	-0.302362728	-0.25795985	-0.091475996	-0.032245641	0.104429072	0.120326781	0.054619825	-0.065284663
Candidatus Dadabacteria	-0.143422657	-0.036029421	-0.133292297	-0.31497882	-0.231519164	-0.155269484	0.327641073	0.103695126	0.245311265	0.229321194	-0.327960736
Candidatus Hydrogenedentes	-0.141256599	-0.090593159	0.018365085	-0.006366688	0.167545781	-0.38340789	0.11442693	-0.168676863	-0.034708019	-0.108494096	-0.063679445
Nitrospinae	-0.272639064	-0.069726829	-0.190147585	-0.357575552	-0.308659366	-0.143689164	0.076926898	0.152830378	0.191742827	0.045655817	-0.343275535
Euryarchaeota	-0.080908149	-0.150369441	-0.13107924	0.167850239	0.023803574	0.516994894	-0.091820192	0.371857273	-0.197988914	-0.08763683	0.017271545
Ignavibacteriae	-0.025126639	-0.032576866	-0.083918115	0.135825987	0.24279374	0.042052905	-0.236805854	-0.068714117	-0.107339126	-0.129564619	0.118793156
Deinococcus Thermus	0.02758462	-0.196488459	0.026595218	-0.276461648	-0.238610073	-0.207173244	0.171641015	-0.05695351	0.316394254	0.307149104	-0.012316218
Thaumarchaeota	-0.176435888	0.163968425	-0.08043653	-0.170955247	-0.118720455	0.132210082	-0.14650591	-0.015512829	-0.196591028	-0.207755189	-0.214984844
Rhodothermaeota	-0.19548958	-0.086088008	0.031827905	0.01908601	0.102476885	-0.355516402	0.061910168	-0.095564442	-0.061703703	-0.153929	-0.065064333
Lentisphaerae	-0.107018395	-0.026090496	-0.074998106	-0.184705753	-0.0929735	0.083661886	0.156626308	0.283729335	0.136836983	0.103800556	-0.231880104
Kiritimatiellaeota	-0.109210901	-0.12207649	-0.070571739	-0.050036233	-0.019919401	0.145437599	0.017422408	0.25002139	-0.006124751	0.031132614	-0.175622879
Candidatus Aminicenantes	0.015609004	-0.166183381	0.22892027	0.165897329	0.149018994	0.336556607	0.068905979	-0.080677896	-0.190238086	0.116635331	0.205915158
Candidatus Eisenbacteria	-0.166149101	-0.025293954	-0.132921996	-0.128086697	-0.197633754	0.06697286	0.172523765	0.518365489	0.107296442	0.060654638	-0.247071555
Unclassified Bacteria	-0.151837321	-0.001576202	-0.1281109	-0.165968746	-0.125330608	0.183179537	-0.167805524	0.150314504	-0.135219726	-0.137133272	-0.2500056
Nitrospirae	0.131033637	0.046646963	-0.124939399	0.216055311	0.213991539	0.206491701	-0.054667883	0.031916928	0.044564056	-0.067571889	0.106300815
Thermodesulfobacteria	-0.092221884	-0.173591809	-0.176856599	-0.341348449	-0.240068427	-0.062481626	0.020531233	0.224024786	0.177416601	0.071193433	-0.170936026
Firmicutes	0.005490274	0.154893399	-0.160144037	-0.187770212	-0.132346367	0.223192192	-0.144980062	0.080043979	-0.009035911	-0.22292491	-0.068390483
Cyanobacteria	0.055252171	-0.070106856	-0.113642085	0.054169007	-0.04824043	0.363046876	-0.419351915	0.152641927	-0.254134444	-0.377792363	0.097165454
Actinobacteria	-0.150308648	-0.054924486	0.04834366	0.099883895	0.049603439	-0.113089818	0.004121935	0.021821898	-0.129321904	-0.208892264	-0.016190331
Bacteroidetes	-0.24548517	-0.127571955	-0.100684989	-0.159022129	-0.171809223	-0.179896837	0.184331299	0.247258064	0.061995806	-0.041470963	-0.294956722
Alphaproteobacteria	-0.06795757	-0.029663321	-0.048911974	0.11970793	0.027012135	0.153542755	0.011631474	0.222963715	-0.017842574	0.006172809	-0.007279712
Deltaproteobacteria	0.474119315	-0.130748236	0.225547072	0.06154673	0.391425529	-0.243587156	0.526841695	-0.140604755	0.526658828	0.398312008	0.329524835
Gammaproteobacteria	0.315882923	-0.051798795	0.006744512	0.292122689	0.077510753	-0.266427105	0.071753576	-0.185738709	0.066597974	0.29042216	0.061447616
