	NH4+ -N (g/kg)	NO3- -N (g/kg)	NO2- -N (g/kg)	TN (g/kg)	TP (g/kg)	pH	SO42- (g/kg)	Temperature (oC)	Salinity	Moisture (%)	TOC..g.kg.
Acidobacteria	0.169479279	-0.081324069	0.287292352	-0.091795305	0.197078363	-0.168469043	0.380741772	-0.19033683	0.414727995	0.052027337	0.163413991
Actinobacteria	0.00807223	-0.064763875	0.287978861	0.224056653	0.081621164	-0.188657233	0.177257775	-0.005847396	0.01373906	0.025935974	-0.048436262
Alphaproteobacteria	-0.054402757	-0.194986912	-0.044127164	-0.166333169	-0.055033737	-0.109907033	0.250822396	0.177927892	0.378594228	0.164894194	-0.150997288
Bacteroidetes	-0.385345127	-0.166630702	-0.093451874	-0.268988276	-0.267703537	0.147885224	0.130288365	0.453578667	0.08088772	-0.023921676	-0.215298946
Betaproteobacteria	0.004844034	-0.21148571	0.452865076	-0.07924288	0.381422175	-0.247197697	0.465129686	-0.210955241	0.339220496	0.221435265	0.312429706
Calditrichaeota	0.201810162	-0.04062204	-0.001602624	-0.058703467	0.257224399	0.066160912	-0.048890871	-0.171587046	0.034027249	-0.110004449	0.399764935
candidate division WWE3	0.001337449	-0.110037677	0.254357437	-0.219898254	0.038790879	0.031803201	0.537788179	0.190997319	0.34182943	0.29797634	0.237589964
candidate division Zixibacteria	-0.173118351	-0.190790525	-0.095639852	-0.423912608	-0.34320071	-0.039207496	0.271515967	0.176333588	0.362798574	0.264373538	-0.076835661
Candidatus Aminicenantes	0.104600408	-0.14443037	0.31363673	0.205026342	0.275205377	0.314091438	0.074727359	0.025992082	-0.213337887	0.143561353	0.276560967
Candidatus Bathyarchaeota	0	0	0	0	0	0	0	0	0	0	0
Candidatus Dadabacteria	-0.124362849	0.060322479	-0.041748493	-0.360877444	-0.316390816	-0.11009201	0.340200172	0.00657896	0.334657337	0.232674773	-0.375344521
Candidatus Eisenbacteria	-0.233913092	0.11396457	-0.337140507	-0.084242104	-0.442992563	0.126553269	0.01165981	0.358188543	-0.008381438	0.109473447	-0.469040102
Candidatus Falkowbacteria	0	0	0	0	0	0	0	0	0	0	0
Candidatus Hydrogenedentes	0.124144836	-0.245201138	0.333436618	-0.061584164	0.421573312	-0.383937533	0.28113083	-0.303004625	0.298271481	0.073999025	0.268633791
Candidatus Kariarchaeota	-0.233740331	-0.088566978	-0.197055025	-0.401952245	-0.442494407	-0.022642918	0.245947279	0.276787851	0.388921385	0.21061172	-0.223455368
