Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria Candidatus.Falkowbacteria.HOST Chlamydiae.HOST Fibrobacteres.HOST Candidatus.Latescibacteria.HOST Candidatus.Parcubacteria.HOST Calditrichaeota.HOST Tenericutes.HOST Candidatus.Kariarchaeota.HOST Candidatus.Bathyarchaeota.HOST Spirochaetes.HOST candidate.division.WWE3.HOST Candidatus.Rokubacteria.HOST candidate.division.Zixibacteria.HOST Candidatus.Schekmanbacteria.HOST Candidatus.Dadabacteria.HOST Candidatus.Krumholzibacteriota.HOST Candidatus.Hydrogenedentes.HOST Nitrospinae.HOST Euryarchaeota.HOST Ignavibacteriae.HOST Deinococcus.Thermus.HOST Thaumarchaeota.HOST Rhodothermaeota.HOST Thermoplasmatota.HOST Lentisphaerae.HOST Kiritimatiellaeota.HOST Candidatus.Aminicenantes.HOST Candidatus.Eisenbacteria.HOST Unclassified.Bacteria.HOST Verrucomicrobia.HOST Other.Proteobacteria.HOST Nitrospirae.HOST Thermodesulfobacteria.HOST Gemmatimonadetes.HOST Proteobacteria.Betaproteobacteria.HOST Firmicutes.HOST Planctomycetes.HOST Cyanobacteria.HOST Actinobacteria.HOST Bacteroidetes.HOST Acidobacteria.HOST Proteobacteria.Alphaproteobacteria.HOST Chloroflexi.HOST Proteobacteria.Deltaproteobacteria.HOST Proteobacteria.Gammaproteobacteria.HOST
Candidatus.Falkowbacteria 1 0.915281000314963 0.00238453997446181 -0.0937031995868437 -0.0556256866078404 -0.166694975578935 -0.0883076728468912 -0.00117625742899837 0.0340408111846116 0.529451393479095 0.339584787489903 0.00534656035786808 0.00786727936212022 -0.0778193809022306 0.507958785001951 -0.153852317167618 -0.109710021978289 0.455533385916705 -0.0608474808687438 0.372650574067777 -0.035194657817206 0.315728857014118 -0.0900416817555626 0.125692115469656 0.28245837361766 0.332142148067379 -0.0779606842122786 -0.00914324210950129 0.209964509036766 0.028372145297897 0.453596191771468 -0.0230048687496891 0.302096893289103 0.29958556102698 0.0950771577846711 -0.128044918530937 0.0689160929367355 -0.0596115509118474 0.361271187928921 0.214616741169359 0.071282993590838 0.380486893596281 0.127991147829023 -0.0168662721721452 0.136478658521719 -0.0811504514278224 -0.075817562279435 -0.0697817184298523 -0.0342210018787812 -0.0908649809305432 -0.156983585771281 -0.1140423640508 -0.0196943476153844 -0.0756992995441635 -0.0743065769027306 0.302108278970563 -0.115161680056284 0.0179493538566738 -0.0390269398846918 0.499402007488778 -0.102537812541229 -0.158946402871709 0.41146434933757 -0.0661863660915395 -0.14751186195641 -0.00815528308566852 0.458045420385814 -0.105739525004683 -0.109040730959124 -0.122510008831924 -0.133995938504709 -0.0714517609424399 -0.124294181713567 -0.131036606376583 0.295193614051631 0.406440040542476 0.405517640781498 0.0543152321663067 -0.00163561606775832 0.415262332808836 -0.118496058587372 -0.0630287750220701 -0.0843312000208943 0.499708464660912 -0.263021134504284 0.0795800749574465 -0.0113075339766657 0.0535774258133026 -0.0633253198788396 0.311171417729608
Chlamydiae 0.915281000314963 1 0.00113486979165769 -0.0858894404030073 -0.0504892782573184 -0.159224420384127 -0.0801534495754789 0.00573600932664223 0.0435643229241307 0.593650417204748 0.320854812964408 -6.07869411251153e-06 0.0106850247536083 -0.0645404220621311 0.507390796831107 -0.142961461416911 -0.101724388821402 0.474994175804866 -0.0552288983774242 0.425771856323254 -0.0273219919379153 0.344333370650519 -0.0817273422072732 0.148852489705238 0.283638688596025 0.33916629811885 -0.0710878686885959 -0.00422178807334718 0.235736988838548 0.0420536441351123 0.455115452952248 -0.0117349131108452 0.303848546849303 0.303331986773934 0.092047548461226 -0.108297159243597 0.0817670263607839 -0.0518046818687858 0.352547208357963 0.266320637731932 0.0730964162891778 0.394342142642505 0.134004722337164 -0.00856323156123598 0.142365566668107 -0.0736571172906443 -0.0688166606500531 -0.0633381592917194 -0.0312269557660657 -0.0846891049883283 -0.148519532281095 -0.103511830645371 -0.00938193403821003 -0.0687093181521405 -0.0674451978281198 0.303897742494452 -0.106900809424924 0.0169836331633316 -0.0332262791270723 0.501775385532927 -0.107443324590942 -0.154781955790473 0.404388443071182 -0.0600747974221943 -0.140521437307749 -0.00313978016400237 0.47826878378491 -0.096890900798745 -0.0976955292212155 -0.111809692478944 -0.124043042099309 -0.0653782999805345 -0.112912081829683 -0.11299702243501 0.253021276560908 0.383441874674577 0.39710548527154 0.0577655329000063 -0.000848751077876974 0.397397181739258 -0.102843331204558 -0.0565644419638647 -0.078128607892159 0.471941579623044 -0.250049841251635 0.0821232433772798 -0.00974748713911931 0.0633147803682542 -0.0437640457064538 0.286938650104403
Fibrobacteres 0.00238453997446181 0.00113486979165769 1 -0.0962512491465287 -0.0565803674813954 -0.172611288515224 -0.080370961951312 0.895521140269708 0.847394211504052 0.113359767184435 -0.0584703523216869 0.683196396954353 0.00431579354144651 -0.193076960345292 0.681664143647834 -0.160208509644792 -0.114418359485298 0.596877717928837 -0.0618917812582191 0.266460900096368 0.136869113573278 0.667760112903013 -0.0915870302561715 0.0705726989969767 0.622169259319398 0.14535072090774 -0.0796639974406236 -0.0341869979882393 0.490448605351536 -0.0785729359946517 0.680058747226516 -0.0404095317541569 0.715606254761046 -0.0476823243337917 0.109419786172418 -0.000480743568599624 0.199197253448125 -0.0604938160328892 0.29776671851245 0.425143228186131 -0.0517903938314878 0.209107265494908 0.041696337484877 -0.118655397621107 -0.0658715132398434 -0.0825432033843903 -0.077118788044036 -0.0709793534788981 -0.0349942144857889 -0.0949061037769051 -0.166437113079772 0.136681064757632 0.896278504053903 -0.0769984956138825 -0.0755818702442493 -0.0588425200306163 -0.119797455818139 0.0496247476372042 -0.152256384327913 0.613332487073132 -0.160733221315082 -0.16526528982772 0.509559755079558 -0.0673222955811505 -0.157474117997198 0.0124354285091671 0.454877677621039 -0.108579939385483 -0.112987172381327 0.60498326926285 0.284694584216807 -0.0732656192737587 -0.110491320377492 0.42763341136988 0.366825125605279 0.465753564659505 0.376449163107569 0.550948038504191 -0.0187771852995815 0.58336930534431 -0.021511074428193 0.138573953991469 -0.0875541401645499 0.573085105799873 -0.106869964026168 -0.0628212489093422 -0.129327289979975 0.0331653535285224 -0.0839488075842079 0.11696734561264
Candidatus.Latescibacteria -0.0937031995868437 -0.0858894404030073 -0.0962512491465287 1 0.283161678633994 0.14907414149821 0.422074298980349 0.0174670635366863 -0.0868027202582885 0.202266415150797 0.507685603208187 0.233858408190696 0.536435326525039 0.00833051400636973 -0.132087299974744 0.0918126435376568 -0.060138281693357 0.0609742503425814 -0.0614818895336848 0.030388255542531 0.0145898596313461 0.0334488380988562 -0.0909804753144087 0.139154101360682 0.195590801588333 0.247737018595145 0.325635496557279 -0.214178225722469 0.324164833196452 0.0522703327694927 0.0734085074387943 -0.137350353449274 0.238622242067857 -0.0587972263134044 0.0303036390468466 0.116279545142819 -0.0728560113371423 -0.0742434453203709 -0.184796558993045 0.157660828917444 -0.0844820386652905 0.0149741341939221 0.212833722586508 0.144304260970581 0.0273465850103847 -0.0819965431445976 0.389711206424109 -0.0705092773393472 0.65475640693833 0.44178479491312 0.0582646333890444 0.393820883036785 0.0374786421016285 -0.0764885564020501 0.344424001683722 0.547604550614099 -0.119004071223903 0.506531173884224 0.0278539311940496 -0.157546486912381 -0.0711862453974526 0.281187936166871 0.0978206687332008 -0.0668764390994921 0.16054441315746 -0.0393001682119067 0.165557779068829 -0.107860845223064 -0.102824590399931 0.242882765351184 0.312277706859214 0.501344602282229 -0.0792041774574146 -0.045519448689429 0.116636515527943 0.0694148114618497 -0.124158866186706 0.35470811938686 -0.0774823279724747 0.0103441683138055 0.101386151450517 -0.000152792920971239 -0.07110713019882 -0.0835157454577017 0.183725036338753 -0.0776649117072228 -0.092878699444668 0.135876075066983 0.337508287894693 0.155290302028652
Candidatus.Parcubacteria -0.0556256866078404 -0.0504892782573184 -0.0565803674813954 0.283161678633994 1 0.314906059969093 0.510433198707867 0.0981230414209188 -0.0526081001315044 -0.0913515095589442 -0.0615821370667781 0.390805616058752 0.0964392689332373 -0.11312186866294 -0.0776462439549116 0.132721613078955 0.00346855470213856 0.240262016120719 -0.0361415351396705 0.149437223346392 0.010478053623716 0.101093111463723 -0.0534819939747964 0.248933671821518 0.384379207899177 0.215125795393298 -0.0465195718128498 -0.126123363475721 0.325113950128408 0.187768667045594 0.163217213011465 -0.0800373770251795 0.12194762662044 -0.0482908805729217 -0.00851083894082645 0.263576541938836 0.071113729107672 -0.0449982224124738 -0.0926736519474034 0.213446517165995 -0.0550840521984988 0.186410223616079 0.116511657128335 -0.0350428500618618 -0.0480667253495609 -0.048200876190839 0.523646981644676 -0.0414481978995882 -0.0204347751318815 0.762957772371678 0.157738794982194 0.553035454341838 0.121425507016067 -0.0449630593651939 0.335874230378167 -0.0578473884007096 -0.0699553942555082 0.00432836070257483 -0.103744516006891 -0.0926121811815141 -0.0172178280817824 0.522384313596767 0.237119645531614 -0.0393126690162326 0.230267401482434 -0.0422999197888497 0.228638536553222 -0.063404956441492 -0.0660917241490309 0.402542267760351 0.283399192838058 -0.0427832565113099 -0.0782995402766112 -0.085209539617261 0.210171786123142 0.220144582865857 -0.0321272470306289 -0.0285327823714097 -0.0359608134468654 0.121481345006112 0.228582355401105 0.0191518709910475 -0.0441233122090046 0.0584548896524236 0.160105527707266 -0.057485394387255 -0.00853531360692688 0.0117498382345874 0.209722860630999 0.109925993868636
Calditrichaeota -0.166694975578935 -0.159224420384127 -0.172611288515224 0.14907414149821 0.314906059969093 1 0.293503350274439 -0.0878554752064083 -0.156885612395362 -0.257771806582951 -0.0901434808999603 0.100756904331524 -0.00867227223841753 -0.194978401162528 -0.236573121493495 -0.0186863855180961 -0.110911366827807 -0.130185117204362 -0.109445682269621 -0.14697561495098 -0.061034179792869 -0.135590613316351 -0.168662333579506 0.0285509707521531 0.0527589671951395 0.0348399816625262 -0.113295737387507 -0.157164767645706 0.0995622780857615 0.235664351219014 -0.153866661778263 -0.0639286964219108 -0.173027004854937 0.304407517411701 -0.226242347864021 -0.0168365132293356 0.213611733491865 -0.138841047076392 -0.20796892166242 0.0299901689603771 0.522439807600859 0.114859091593956 0.185485333539806 -0.115946012585899 -0.144508536301956 -0.152007650701186 0.27270940515052 -0.13071221285624 -0.0096404864001097 0.358753685667544 0.928321681554703 0.27488119585584 -0.0720935673808352 -0.141796779697131 0.196816959173699 -0.0810090924895996 -0.0954365585603077 -0.061432708248666 -0.100847903371982 -0.048676215187704 0.126522183266941 0.537168513651582 -0.0880302328614444 -0.116518910658193 -0.0136967148145734 -0.214954289278468 -0.100851013927936 -0.0989298157212934 -0.199781505068329 0.120022364697668 0.189110813518354 -0.0876101831415723 0.230269555472488 -0.286054901220088 -0.022771338299823 0.254351849250472 -0.134618620366441 -0.181853588317598 0.474112006996983 -0.23277393897751 0.0462253527670856 0.408605537905656 -0.121740882346795 0.0485282825642365 0.179556837556105 0.522386250179119 0.386043189906149 0.304084626227075 -0.000773786099124406 -0.0475196114380308
Tenericutes -0.0883076728468912 -0.0801534495754789 -0.080370961951312 0.422074298980349 0.510433198707867 0.293503350274439 1 0.17879130609015 -0.0661264126359113 -0.141554855465173 -0.0977197821976958 0.539756450153059 0.094432099483202 -0.21378252623396 -0.117417730630553 0.14649120152069 -0.00353382093564419 0.425839223723316 -0.0573759184996486 0.302609355054905 0.0270636896160905 0.0942281682062206 -0.0849044877490113 0.279717437948677 0.554257226087658 0.299638477396347 -0.0738514053334414 -0.199083337865844 0.421563165267665 0.279733021346573 0.23698247725709 -0.129685426864504 0.167208129881333 -0.0800277453745088 -0.008058838518623 0.498826589710768 0.0858018170649255 -0.0616720629929008 -0.143471483078976 0.255333118464103 -0.0905790269431034 0.255064112711533 0.172883214808608 -0.0334662948419022 -0.100414647517994 -0.0765205333212762 0.710080184287236 -0.0656172861890683 -0.0324409018043767 0.870550844964978 0.16575895495073 0.915347889809663 0.20944150725368 -0.0710898841168779 0.927718204956227 -0.0918298863693202 -0.111056571999598 0.00026497423763212 -0.165131909822401 -0.141153198814071 -0.047524246014291 0.696062981552873 0.44517016444009 -0.0624102015800424 0.369537821758792 -0.0726708724253625 0.280800772581554 -0.10065752877408 -0.104922864057142 0.636976363380536 0.806945415396933 -0.0679198774832356 -0.124117406001339 -0.131248960188599 0.339640551509132 0.345875384029577 -0.0514200620564628 -0.0658276257562191 -0.0599003604801608 0.182438513471501 0.458088569646092 0.0145404087352025 -0.0541786870332129 0.0900725137777971 0.205843252849749 -0.0989364155355061 -0.0194111910502858 0.00448495065092851 0.269504334498296 0.129446309477923
Candidatus.Kariarchaeota -0.00117625742899837 0.00573600932664223 0.895521140269708 0.0174670635366863 0.0981230414209188 -0.0878554752064083 0.17879130609015 1 0.857370864229816 0.108831620695307 -0.0788312157717756 0.828097050594016 0.0330128868333117 -0.232972160535737 0.688607051596847 -0.114718758989341 -0.112432799045076 0.691622530800259 -0.0763127951759064 0.33553342102057 0.159073993343811 0.70647510031187 -0.112927147007594 0.155982838063937 0.798975409990506 0.279686442770846 -0.0980017118490469 -0.0990655408393383 0.639119284814068 0.0055697856584679 0.775695960898017 -0.0727665270179352 0.788096711543947 -0.0481970027277768 0.119974084470708 0.142821311354504 0.212621000919274 -0.0761818514485854 0.179230964502742 0.507218268643881 -0.0651665684567498 0.313229128852907 0.121375192474424 -0.113882384548285 -0.0480471432432808 -0.101776075029343 0.122883616744688 -0.0875178053311254 -0.0428447872068666 0.143986550785712 -0.11792211192545 0.39375231279891 0.991048691743649 -0.0949394298431964 0.150812816720477 -0.0774738860121008 -0.147710706051626 0.0553433449026247 -0.185347746073301 0.615996774464993 -0.168000263667972 0.0255847069032012 0.634669177548017 -0.0830086394188876 -0.0559429125009781 -0.00141070484044731 0.547240837901786 -0.133879466806206 -0.139311215771865 0.825986469104628 0.5251481117522 -0.0899381146336029 -0.142043739039939 0.425852041923774 0.472292960491493 0.561934720592487 0.387666355687485 0.5701660104952 -0.0312263851345154 0.635930959457239 0.110104772714677 0.158789473439187 -0.100904960353739 0.604114748212248 -0.0370598120308927 -0.0810015578143073 -0.11416811253808 0.0582736501534018 0.0146960151723853 0.190653141978499
Candidatus.Bathyarchaeota 0.0340408111846116 0.0435643229241307 0.847394211504052 -0.0868027202582885 -0.0526081001315044 -0.156885612395362 -0.0661264126359113 0.857370864229816 1 0.183005751302091 -0.0226430705616897 0.594479047098896 0.0203612327260141 -0.159514962593825 0.605234194949149 -0.130390388057974 -0.105372499505392 0.522893584364385 -0.0394121946346211 0.241759738960089 0.103416478340613 0.609395824646934 -0.0858268339489924 0.090401108001496 0.551367719950774 0.113656928430874 -0.0710867817256815 -0.01662666352135 0.452999323507782 -0.064691003926066 0.634849958829363 0.0140432705502474 0.617912148000106 -0.0137005547921258 0.10603338980559 0.0168112585203648 0.154641194487622 -0.0576950950510427 0.161279171416342 0.430213982559167 -0.0369792899664541 0.229887496987911 0.0683261575723263 -0.0495704715625334 0.00798725930174005 -0.0773518017854126 -0.0687173233215891 -0.0665152387603453 -0.032196830520608 -0.0830509151380936 -0.148180615511403 0.0893707784476396 0.849630315622811 -0.0721558181206514 -0.0665471221294216 -0.0249336730356597 -0.108256959011206 0.0510510470114515 -0.119601431206248 0.555277519946761 -0.143618404101478 -0.13854121019362 0.530602503904712 -0.0397276157439713 -0.137692220724018 0.00548951003208539 0.45440345164491 -0.099027744530935 -0.075885249098343 0.525507022479136 0.297650203255995 -0.0657820893028299 -0.103490730386108 0.310230850000343 0.232081583104284 0.389210363383051 0.396317525038423 0.437189060548903 -0.018187402816845 0.529035374797812 0.00163067037653974 0.100595211352698 -0.0819529169348202 0.488352771670446 -0.106775353947017 -0.0504717117521016 -0.109511587432058 0.0449521120800306 -0.0560514998225943 0.131385126974468
Spirochaetes 0.529451393479095 0.593650417204748 0.113359767184435 0.202266415150797 -0.0913515095589442 -0.257771806582951 -0.141554855465173 0.108831620695307 0.183005751302091 1 0.443831253104612 0.0244378568791186 0.205611208538775 0.0584332866071099 0.346902300207745 -0.125285666881438 -0.175792975050387 0.259441376608961 0.026258888989997 0.160783140037011 -0.0060454968342093 0.623825447719401 -0.147871317249275 0.13290742454327 0.177328207556135 0.427780530397701 0.109563014174138 -0.0529891795878621 0.227184654334329 -0.140867473268207 0.498997145731228 0.060440061981636 0.436522119887447 0.137940372100546 0.164994710244774 -0.142727556334207 -0.0306618163472487 -0.115451958585119 0.132363044575817 0.256926287385548 0.00843239393617609 0.112645695100617 0.310448009411063 0.180363519221095 0.32701698999431 -0.133269658163221 -0.124511699318592 -0.114599310263358 0.131957400592824 -0.13271597575401 -0.244906568719798 -0.156758800614738 0.103831236289291 -0.124317481861686 -0.12203027745217 0.426273618413394 -0.191281636262363 0.256284350472418 0.167823905092491 0.313961594541682 -0.219171751645464 -0.233641062500918 0.22186947491671 0.0376290891377303 -0.189941606865071 -0.00922180324890104 0.711107592752484 -0.175307121749325 -0.0351023659829119 -0.0289054946482326 -0.0185045084751852 0.0955213211928922 -0.164507600697535 -0.0216759838766254 0.177145721223709 0.299327207703642 0.335511960975502 0.57198167803569 -0.094333960751753 0.296859242982793 -0.175877440703326 -0.111041894912561 -0.141360037557143 0.242782447086898 -0.258472358878578 0.0106238422294227 -0.17276846983572 0.162769000966535 0.107952928595269 0.510687857501909
