,BH2,BH6,BH10,BH14,BH15,DD1,DD5,DD9,DD13,DD15,DY2,DY6,DY10,DY13,DY15,LYG1,LYG5,LYG7,LYG13,LYG15,NB1,NB4,NB7,NB12,NB15,SY1,SY7,SY11,SY13,SY15,ST1,ST7,ST10,ST13,ST15,WZ1,WZ5,WZ10,WZ14,WZ15,XM2,XM6,XM10,XM14,XM15,YC1,YC5,YC9,YC13,YC15,ZH1,ZH5,ZH9,ZH13,ZH15,QD4,QD9,QD10,QD12,QD13
C10H15O2NS,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C10H15O4N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15O4NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0
C10H15O5N,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H15O7N3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,56,39,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,136,29,0,0,0,0,0,0,0
C10H15O8N3,0,0,0,0,0,0,0,0,0,0,39,120,6,211,0,0,0,76,48,24,32,0,0,28,0,72,42,3,16,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,6,0,0,0,0,2,0,0
C10H16O5,276,206,190,130,86,2,78,22,104,4,0,0,1,0,0,149,59,14,24,9,113,127,8,29,0,0,0,0,2,1,182,193,0,0,38,0,0,6,89,0,82,0,267,100,0,14,87,0,66,71,68,96,21,220,0,51,0,0,0,0
C10H16O5S,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,17,0,0,0,0,8,25,47,0,25,7,0,0,0,0,0,16,0,0,0
C10H16O6,159,103,75,121,76,0,39,0,79,1,0,0,0,0,0,0,22,0,0,5,25,0,0,13,0,43,0,0,0,0,55,0,0,0,0,0,0,0,0,0,37,0,0,35,0,12,45,46,22,33,15,65,0,53,0,0,0,0,0,0
C10H16O6S,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,144,0,0,0,0,0,0,0,0,0,10,166,62,102,11,46,55,34,36,25,0,0,31,0,0,18,0,0,0
C10H16O6S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H17O10NS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
