host,BH2_FDSW220017122-1r,BH4_FDSW220017124-1r,BH6_FDSW220017126-1r,BH8_FDSW220017128-1r,BH10_FDSW220017130-1r,BH12_FDSW220017132-1r,BH14_FDSW220017134-1r,BH15_FDSW220017135-1r,DD1_FDSW220008388-1r,DD3_FDSW220008390-2r,DD5_FDSW220008392-2r,DD7_FDSW220008394-1r,DD9_FDSW220008396-1r,DD11_FDSW220008398-1r,DD13_FDSW220008400-2r,DD15_FDSW220008402-2r,DY2_FDME210438600-1b,DY3_FDME210438601-1r,DY6_FDME210438604-1r,DY7_FDME210438605-1r,DY10_FDME210438608-1r,DY11_FDME210438609-1r,DY13_FDME210438611-1b,DY15_FDME210438613-1r,LYG1_FDME210455382-1r,LYG3_FDME210455384-1r,LYG5_FDME210455386-1r,LYG6_FDME210455387-1r,LYG7_FDME210455388-1r,LYG11_FDME210455392-2r,LYG13_FDME210455394-1a,LYG15_FDME210455396-1a,NB1_FDME210455352-1r,NB2_FDME210455353-1r,NB4_FDME210455355-1r,NB6_FDME210455357-1r,NB7_FDME210455358-1r,NB11_FDME210455362-1b,NB12_FDME210455363-1r,NB15_FDME210455366-1r,SY1_FDME210455397-2a,SY3_FDME210455399-2a,SY7_FDME210455403-2a,SY9_FDME210455405-2a,SY11_FDME210455407-1r,SY12_FDME210455408-1r,SY13_FDME210455409-2a,SY15_FDME210455411-2a,ST1_FDME220007465-1r,ST3_L1,ST7_FDME220007471-1r,ST9_L1,ST10_L1,ST12_L1,ST13_L1,ST15_L1,WZ1_L1,WZ3_L1,WZ5_L1,WZ7_FDME210455463-1r,WZ10_L1,WZ11_L1,WZ14_L1,WZ15_FDME210455471-1r,XM2_FDME220007436-1r,XM4_FDME220007438-1r,XM6_FDME220007440-1r,XM8_FDME220007442-1r,XM10_FDME220007444-1r,XM12_FDME220007446-1r,XM14_FDME220007448-1r,XM15_FDME220007449-1r,YC1_FDME220007405-1r,YC3_FDME220007407-1r,YC5_FDME220007409-1r,YC7_FDME220007411-1a,YC9_FDME220007413-1r,YC11_FDME220007415-1r,YC13_FDME220007417-1r,YC15_FDME220007419-1r,ZH1_FDSW220008784-1r,ZH3_FDSW220008786-1r,ZH5_FDSW220008788-1r,ZH7_FDSW220008790-1r,ZH9_FDSW220008792-2r,ZH11_FDSW220008794-2r,ZH13_FDSW220008796-2r,ZH15_FDSW220008798-2r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
FJ_XM_bin_1,0,0,0.036521012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.023853909,3.278920672,2.512887891,3.078893696,1.116963522,0.106353848,0.852633104,1.095395019,0,0,0,0,0,0,0,0,2.802012345,4.859636277,6.491262956,7.192418086,4.929452698,2.924713275,4.247208226,4.601027611,0,0,0,0,0,0,0,0,0.604161176,1.9283216,0.733132501,2.059671808,1.725024385,1.530610137,1.573894784,1.428798891,0,0,0,0,0,0,0,0
FJ_XM_bin_10,8.927643201,5.356384932,8.569132074,5.927208843,8.739442941,4.268506799,3.986677007,3.63078396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15152438,0,1.940745148,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299736339,0,1.286023789,0,0.037245312,4.362456018,1.107122109,31.738647,83.90504174,22.90119647,55.20137397,11.66826105,6.358396724,30.10855529,27.63338883,3.837542314,3.328961011,4.522121862,3.48761244,3.939261325,5.157155967,2.069521552,5.24868452,18.5957161,33.93001682,24.6400564,36.23514516,37.37566388,34.78613435,18.16232115,21.62160709,0,0,0,0,0,0,0,0,7.225027792,81.62862859,13.24567837,74.18839968,73.08241163,52.63316569,45.93656158,60.9160417,0,0,0,0,0,0.00808987,0.110878918,0
FJ_XM_bin_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105501563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.302906257,5.194729572,2.298361217,3.918355443,5.0961989,4.841840138,3.306793696,3.46346392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ_XM_bin_103,0,0,0,0,0,0,0,0,0,0,0,0.049910918,0.016343064,0.272448952,0.396262545,0.228882348,0,0,0,0,0,0,0,0,0,0,0,0.854674462,3.199920862,0,0.258360862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.287012482,2.098070585,0.924940057,0.877658699,0.324608878,0,0,0.969567848,0,0,0,0,0,0,0,0,4.125478216,3.945580789,12.12012907,11.26947174,6.773788178,4.436793022,4.336179207,5.261374294,0.290742335,0.114481407,0.328689552,0.015405646,0.055246695,0.610814773,0.196573729,0.038179519,0,0,0,0,0,0,0,0,0.499563516,0.445626299,0.077060797,0.890474367,0.287432682,0.172588169,0.119613534,0.216673768
FJ_XM_bin_108,0,0,0,0,0,0,0.182859576,0.185090119,0,0,0,0,0,0,0,0,0,0.592579309,0,0,0,0,0,0,0.459516246,0.70663565,0.242461823,0.888319349,1.000571905,0.194297772,0.16034314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.193606696,5.033906539,12.74777683,5.247695234,3.780351357,6.176990285,3.907435129,9.26242595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413499365,0.62389116,3.588330809,0.313612286,0.589993142,0.522082948,0.614936415,0.308089616
FJ_XM_bin_112,0.497887035,0.809340823,0.575254035,0.03533832,0.223337913,0,0.288613856,0.639303398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.737459925,6.57784006,10.86153647,6.402087947,7.487008572,6.074499652,8.595078632,12.43265263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ_XM_bin_114,0,0,0,0,0,0,0,0,0.676127856,0.940384869,0.968924696,1.036935987,1.0727416,0.727949207,0.608381845,0.449210457,0,0,0,0,0,0,0,0,0.340336388,1.00166733,0.409613415,1.260968864,0.767009002,0.364971392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.120722358,2.735006822,1.346026398,3.602207434,0.565548958,0.391657688,1.488446972,1.135575479,0,0,0,0,0,0,0,0,4.828113845,9.203997754,8.307948406,7.563635493,6.707178712,7.964930987,9.471093094,5.79066737,0,0,0,0,0,0,0,0,0,0.1576419,0,0.122859356,0.10723059,0.025606744,0.019960917,0.085617524,0.350496266,0.423862563,0.261382651,0.471115267,0,0.109354932,0.043572948,0
FJ_XM_bin_116,8.881336799,8.471329893,13.58042287,14.91716212,8.808663169,14.4561661,9.783128717,7.784915684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.52721949,12.09083646,6.938078743,7.660444753,15.3416518,8.107337665,12.41173506,6.988839304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ_XM_bin_118,2.809910449,2.302559054,1.882563113,2.170641826,3.879920946,2.286908722,2.658965631,2.812589075,0,0,0,0,0,0,0,0,0,5.511879689,0,0,0,0,0,0,2.144091424,0.750240008,1.661709925,14.07114885,19.4529172,0,1.824081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12067689,28.47935923,48.01480803,37.63915075,24.78315108,12.17918423,33.62859717,22.00133154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.060127964,3.949638451,2.59883559,1.319875911,0.521466227,1.012262448,0.924715428,0.755742518
FJ_XM_bin_12,3.790937782,2.954612988,3.479420581,2.925420943,3.97386791,2.712164685,2.424515471,2.611293496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4758115,8.474950471,5.248827787,6.33462921,5.289627011,4.441338723,0.555451417,0,0,0,0,0,0,0,0,0,0,0.392296932,0,0,0,0,0.040761935,0,3.994373121,10.95258975,3.730898097,9.248617775,2.442625382,1.659634706,4.887979731,3.114767622,10.86478561,10.68150576,12.26329622,6.589867636,8.851266566,9.414477987,7.427156881,6.754074459,12.53101733,19.2933671,18.91481911,15.27839193,15.91212746,14.05764748,12.08308415,12.95135614,0,0,0,0,0,0,0,0,0,0.21385158,0,0.151143268,0.293302358,0.158246622,0.093200392,0,1.367733395,1.696925065,0.146811994,0.191691922,2.341450402,2.782193477,2.393544402,2.467467393
