,BH2_FDSW220017122.1r,BH4_FDSW220017124.1r,BH6_FDSW220017126.1r,BH8_FDSW220017128.1r,BH10_FDSW220017130.1r,BH12_FDSW220017132.1r,BH14_FDSW220017134.1r,BH15_FDSW220017135.1r,DD1_FDSW220008388.1r,DD3_FDSW220008390.2r,DD5_FDSW220008392.2r,DD7_FDSW220008394.1r,DD9_FDSW220008396.1r,DD11_FDSW220008398.1r,DD13_FDSW220008400.2r,DD15_FDSW220008402.2r,DY2_FDME210438600.1b,DY3_FDME210438601.1r,DY6_FDME210438604.1r,DY7_FDME210438605.1r,DY10_FDME210438608.1r,DY11_FDME210438609.1r,DY13_FDME210438611.1b,DY15_FDME210438613.1r,LYG1_FDME210455382.1r,LYG3_FDME210455384.1r,LYG5_FDME210455386.1r,LYG6_FDME210455387.1r,LYG7_FDME210455388.1r,LYG11_FDME210455392.2r,LYG13_FDME210455394.1a,LYG15_FDME210455396.1a,NB1_FDME210455352.1r,NB2_FDME210455353.1r,NB4_FDME210455355.1r,NB6_FDME210455357.1r,NB7_FDME210455358.1r,NB11_FDME210455362.1b,NB12_FDME210455363.1r,NB15_FDME210455366.1r,SY1_FDME210455397.2a,SY3_FDME210455399.2a,SY7_FDME210455403.2a,SY9_FDME210455405.2a,SY11_FDME210455407.1r,SY12_FDME210455408.1r,SY13_FDME210455409.2a,SY15_FDME210455411.2a,ST1_FDME220007465.1r,ST3_L1,ST7_FDME220007471.1r,ST9_L1,ST10_L1,ST12_L1,ST13_L1,ST15_L1,WZ1_L1,WZ3_L1,WZ5_L1,WZ7_FDME210455463.1r,WZ10_L1,WZ11_L1,WZ14_L1,WZ15_FDME210455471.1r,XM2_FDME220007436.1r,XM4_FDME220007438.1r,XM6_FDME220007440.1r,XM8_FDME220007442.1r,XM10_FDME220007444.1r,XM12_FDME220007446.1r,XM14_FDME220007448.1r,XM15_FDME220007449.1r,YC1_FDME220007405.1r,YC3_FDME220007407.1r,YC5_FDME220007409.1r,YC7_FDME220007411.1a,YC9_FDME220007413.1r,YC11_FDME220007415.1r,YC13_FDME220007417.1r,YC15_FDME220007419.1r,ZH1_FDSW220008784.1r,ZH3_FDSW220008786.1r,ZH5_FDSW220008788.1r,ZH7_FDSW220008790.1r,ZH9_FDSW220008792.2r,ZH11_FDSW220008794.2r,ZH13_FDSW220008796.2r,ZH15_FDSW220008798.2r,CXD_1412_FDSW210423229.1r,CXD_1414_FDSW210423231.1r,CXD_1604_FDSW210423236.1r,CXD_1609_FDSW210423241.1r,CXD_1610_FDSW210423242.1r,CXD_1611_FDSW210423243.1r,CXD_1612_FDSW210423244.1r,CXD_1613_FDSW210423245.1r
GD_ZH_contig_19470049||full,0.761546162,0.976111241,1.004464337,0.348839478,1.879263769,0.065418694,2.725939489,2.541171504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.470515146,6.182472663,9.776703525,10.53248428,14.6815,7.032986476,8.548819099,8.820050642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.40731217,8.777134425,14.13526965,6.488403465,7.229677107,9.131022385,7.647286918,7.790405087,0,0,0,0,0,0,0,0
ZJ_WZ_contig_4758631||full_1,0,0,0,0,0,0,0,0,14.20893013,9.374501043,5.358730542,5.80013452,4.338034419,6.683605274,7.216076486,4.578456993,0,0,0,0,0.415830815,0,0,0,42.13579347,33.46163476,24.43403119,31.62593515,41.60362459,29.88424743,34.05584174,45.99741094,36.06299049,9.900848701,23.15979338,31.26695842,32.71374306,29.58436472,31.44326715,20.98347215,0,0,0,0,0,0,0,0,10.97257987,6.220235914,4.023752352,3.822586249,4.321087351,1.70215167,4.093361391,5.555780188,41.2017121,35.17185617,44.94600789,21.25558305,42.25351808,34.23962995,32.79000412,46.00240416,22.52967044,18.04131558,12.31660502,18.64765472,16.40381095,25.00647809,15.6433476,17.41419088,34.38306883,27.46208274,22.14605631,34.20001964,23.91127225,24.60877502,37.97348598,39.51690682,0,0.393566632,0,0.704869498,0.170135477,0,0.017211254,0,14.95494087,25.84139872,31.1213691,36.76703764,37.28939334,37.84509864,40.60055167,28.96254461
GX_BH_contig_31701474||full,13.45475905,10.17045096,8.269917611,8.546036311,13.07071585,5.182899736,15.15573534,13.2687966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.069464503,2.09979853,0.794331692,0.695208331,4.223780218,2.591901136,1.423665948,1.198128309,0,0,0,0,0,0,0,0,2.899748561,3.080231434,0.888793464,1.163973609,0.856507032,1.221223716,1.796278903,1.167728506,0,0,0,0,0,0,0,0,0,0.071195086,0,0.643915777,0,0,0,0,0,0,0,0,0,0,0,0
GD_ST_contig_15185716||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.303183473,0,0,0.124668172,0,1.98833058,0.878914948,0,0,0,0,0,0,0,0,0,3.529045629,5.253297495,2.727967508,7.640916107,9.320497606,3.261292261,3.785190325,4.459468179,0,0,0,0,0,0,0,0,0,0,0,1.65885254,0.520502833,0.740360887,0,0,0,0,0,0,0,0,0,0,104.7885196,69.8609714,109.8215543,74.4599944,62.89345131,78.82504208,79.22341363,99.43272315,0,0,0,0,0,0,0,0
ZJ_WZ_contig_12263310||full,0,0,0,0,0,0,0.26943475,0,4.841393995,1.054562834,5.910053266,4.151323147,3.961163046,2.925946254,4.730102672,4.309962899,0,0.129033409,0,0,0,0,0,0,16.99909628,12.79709696,11.19725672,11.04771322,12.01102895,6.773857229,7.597867278,0.884632568,1.595403736,3.220666173,5.018454428,4.917416535,3.948187368,3.97229575,2.870007928,3.430810794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.611432674,8.164787265,5.220727378,3.636818005,5.353672267,11.85768571,9.589007917,1.527735413,1.724046478,0.659338254,0.709736516,1.049070474,1.788467204,0,1.971370267,3.468032883,6.514387031,2.47151368,2.127636889,0.828607611,1.197881889,4.457381896,4.719675272,2.870087954,0,0,0,0,0,0,0,0,6.936420696,14.50800326,0.355051962,1.748712415,3.918686803,4.949185814,3.414744016,3.255361816
FJ_XM_contig_11757470||full,5.419392302,1.772201194,7.181092205,3.244062037,1.585918244,10.29682576,5.607429449,3.0268532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.524863443,2.904645365,2.019897823,2.506841333,2.083964841,1.361208796,3.879278506,7.404360875,0,0,0,0,0,0,0,0,5.948839165,7.028866718,3.460576246,4.862582455,6.719451368,6.743112002,8.273631821,5.535576566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD_QD_contig_27550829||0_partial,0,0,0,0,0,0,0,0,10.90598805,5.375140374,6.468221901,4.880212784,9.067645298,5.296643177,8.43228404,4.104372746,0,0.316788205,0,0,0,0,0,0,13.97532588,21.40875198,10.44302909,19.79195041,14.12571322,9.113462972,0,0,2.746076876,0,3.737252515,3.712475608,4.407882317,6.159216738,4.938079081,2.393807905,0,0,0,0,0,0,0,0,7.880706144,12.1012533,7.633589047,9.880836041,9.50737602,3.018993575,7.514137475,4.69705808,10.0037352,7.225805106,9.375526592,10.57311888,9.12414922,8.043624518,9.463111845,3.669665492,11.17835748,21.82347799,11.17415913,13.82174871,12.28545946,15.30366184,10.81608023,12.28351298,6.50259148,6.353301339,12.99031009,3.823915918,8.949518256,10.0411371,9.934564443,5.02561583,8.91277401,14.91183026,6.957884893,12.74430754,10.05010271,8.131256624,9.172294946,9.456192867,4.390056706,6.946618445,15.02307063,3.590698117,8.492827191,8.872534751,10.4751759,6.857535882
GD_ZH_contig_13731975||full,0,0,0,0,0,0,0,0,4.111297336,7.216809882,5.655689014,5.9468906,4.608784047,5.405801362,2.337395192,3.691818336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.570391961,0.229708456,4.848850029,3.784055885,5.158869907,4.62321743,3.391044548,4.130740922,0,0,0,0,0,0,0,0,1.253685415,1.881531874,3.800395694,7.850070199,8.517030845,3.943093735,2.507758118,5.699426656,0,0,0.329268431,0.043386212,0.65900883,1.95929757,2.154613402,0.52309255,0,0,0,0,0,0.609843146,0,0,0,0,0,0,0,0,0,0,78.17483129,64.19565933,90.00479303,52.31299475,62.87139746,70.38715189,65.45370301,68.15227415,0,0,0,0,0,0,0,0
FJ_XM_contig_21342506||full,3.053154562,1.135791325,5.882382054,3.157990262,2.078903073,7.951533961,3.182338961,2.32777338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72538121,5.002728695,1.54954727,2.216207156,2.8103836,1.603404776,3.522940433,1.192433074,0,0,0,0,0,0,0,0,3.734690887,5.492729876,5.738379334,6.375505481,4.076159169,1.926943396,7.358166923,9.71735282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD_ST_contig_23560987||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00742132,0,0.157109643,0,0,0.326012304,0,1.218185678,0,0,0,0,0,0,0,0,2.899988515,3.249769233,4.171919388,7.893009188,11.45991714,4.812805142,3.247980532,10.57453179,0,0,0,0,0,0,0,0,0,0,0.055476527,0.211431659,0,0,0.252286546,0,0,0,0,0,0,0,0,0,110.3514835,74.33274798,104.8073902,71.55513142,60.95960078,77.44018477,103.4854697,67.92065806,0,0,0,0,0,0,0,0
