Sample	Longitude	Latitude
BH2_FDSW220017122-1r	109.1590941	21.55293944
BH4_FDSW220017124-1r	109.1590941	21.55293944
BH6_FDSW220017126-1r	109.1590941	21.55293944
BH8_FDSW220017128-1r	109.1590941	21.55293944
BH10_FDSW220017130-1r	109.1590941	21.55293944
BH12_FDSW220017132-1r	109.1590941	21.55293944
BH14_FDSW220017134-1r	109.1590941	21.55293944
BH15_FDSW220017135-1r	109.1590941	21.55293944
DD1_FDSW220008388-1r	123.6935985	39.81195629
DD3_FDSW220008390-2r	123.6935985	39.81195629
DD5_FDSW220008392-2r	123.6935985	39.81195629
DD7_FDSW220008394-1r	123.6935985	39.81195629
DD9_FDSW220008396-1r	123.6935985	39.81195629
DD11_FDSW220008398-1r	123.6935985	39.81195629
DD13_FDSW220008400-2r	123.6935985	39.81195629
DD15_FDSW220008402-2r	123.6935985	39.81195629
DY2_FDME210438600-1b	119.164238	37.79432153
DY3_FDME210438601-1r	119.164238	37.79432153
DY6_FDME210438604-1r	119.164238	37.79432153
DY7_FDME210438605-1r	119.164238	37.79432153
DY10_FDME210438608-1r	119.164238	37.79432153
DY11_FDME210438609-1r	119.164238	37.79432153
DY13_FDME210438611-1b	119.164238	37.79432153
DY15_FDME210438613-1r	119.164238	37.79432153
LYG1_FDME210455382-1r	119.2052329	34.89410646
LYG3_FDME210455384-1r	119.2052329	34.89410646
LYG5_FDME210455386-1r	119.2052329	34.89410646
LYG6_FDME210455387-1r	119.2052329	34.89410646
LYG7_FDME210455388-1r	119.2052329	34.89410646
LYG11_FDME210455392-2r	119.2052329	34.89410646
LYG13_FDME210455394-1a	119.2052329	34.89410646
LYG15_FDME210455396-1a	119.2052329	34.89410646
NB1_FDME210455352-1r	122.0301193	29.82061002
NB2_FDME210455353-1r	122.0301193	29.82061002
NB4_FDME210455355-1r	122.0301193	29.82061002
NB6_FDME210455357-1r	122.0301193	29.82061002
NB7_FDME210455358-1r	122.0301193	29.82061002
NB11_FDME210455362-1b	122.0301193	29.82061002
NB12_FDME210455363-1r	122.0301193	29.82061002
NB15_FDME210455366-1r	122.0301193	29.82061002
SY1_FDME210455397-2a	109.6807945	18.27040352
SY3_FDME210455399-2a	109.6807945	18.27040352
SY7_FDME210455403-2a	109.6807945	18.27040352
SY9_FDME210455405-2a	109.6807945	18.27040352
SY11_FDME210455407-1r	109.6807945	18.27040352
SY12_FDME210455408-1r	109.6807945	18.27040352
SY13_FDME210455409-2a	109.6807945	18.27040352
SY15_FDME210455411-2a	109.6807945	18.27040352
ST1_FDME220007465-1r	116.7255591	23.32790454
ST3_L1	116.7255591	23.32790454
ST7_FDME220007471-1r	116.7255591	23.32790454
ST9_L1	116.7255591	23.32790454
ST10_L1	116.7255591	23.32790454
ST12_L1	116.7255591	23.32790454
ST13_L1	116.7255591	23.32790454
ST15_L1	116.7255591	23.32790454
WZ1_L1	121.0197392	27.85493975
WZ3_L1	121.0197392	27.85493975
WZ5_L1	121.0197392	27.85493975
WZ7_FDME210455463-1r	121.0197392	27.85493975
WZ10_L1	121.0197392	27.85493975
WZ11_L1	121.0197392	27.85493975
WZ14_L1	121.0197392	27.85493975
WZ15_FDME210455471-1r	121.0197392	27.85493975
XM2_FDME220007436-1r	118.066957	24.55815055
XM4_FDME220007438-1r	118.066957	24.55815055
XM6_FDME220007440-1r	118.066957	24.55815055
XM8_FDME220007442-1r	118.066957	24.55815055
XM10_FDME220007444-1r	118.066957	24.55815055
XM12_FDME220007446-1r	118.066957	24.55815055
XM14_FDME220007448-1r	118.066957	24.55815055
XM15_FDME220007449-1r	118.066957	24.55815055
YC1_FDME220007405-1r	120.9748363	32.82356196
YC3_FDME220007407-1r	120.9748363	32.82356196
YC5_FDME220007409-1r	120.9748363	32.82356196
YC7_FDME220007411-1a	120.9748363	32.82356196
YC9_FDME220007413-1r	120.9748363	32.82356196
YC11_FDME220007415-1r	120.9748363	32.82356196
YC13_FDME220007417-1r	120.9748363	32.82356196
YC15_FDME220007419-1r	120.9748363	32.82356196
ZH1_FDSW220008784-1r	113.6442374	22.43845252
ZH3_FDSW220008786-1r	113.6442374	22.43845252
ZH5_FDSW220008788-1r	113.6442374	22.43845252
ZH7_FDSW220008790-1r	113.6442374	22.43845252
ZH9_FDSW220008792-2r	113.6442374	22.43845252
ZH11_FDSW220008794-2r	113.6442374	22.43845252
ZH13_FDSW220008796-2r	113.6442374	22.43845252
ZH15_FDSW220008798-2r	113.6442374	22.43845252
CXD_1412_FDSW210423229-1r	120.7538438	36.45812023
CXD_1414_FDSW210423231-1r	120.7538438	36.45812023
CXD_1604_FDSW210423236-1r	120.7538438	36.45812023
CXD_1609_FDSW210423241-1r	120.7538438	36.45812023
CXD_1610_FDSW210423242-1r	120.7538438	36.45812023
CXD_1611_FDSW210423243-1r	120.7538438	36.45812023
CXD_1612_FDSW210423244-1r	120.7538438	36.45812023
CXD_1613_FDSW210423245-1r	120.7538438	36.45812023
