	Sample	Longitude	Latitude		Type	Richness
1	BH2_FDSW220017122-1r	109.1590941	21.55293944	1319	vOTUs	263.8
2	BH4_FDSW220017124-1r	109.1590941	21.55293944	1334	vOTUs	266.8
3	BH6_FDSW220017126-1r	109.1590941	21.55293944	1360	vOTUs	272
4	BH8_FDSW220017128-1r	109.1590941	21.55293944	1314	vOTUs	262.8
5	BH10_FDSW220017130-1r	109.1590941	21.55293944	1335	vOTUs	267
6	BH12_FDSW220017132-1r	109.1590941	21.55293944	1347	vOTUs	269.4
7	BH14_FDSW220017134-1r	109.1590941	21.55293944	1572	vOTUs	314.4
8	BH15_FDSW220017135-1r	109.1590941	21.55293944	1515	vOTUs	303
9	DD1_FDSW220008388-1r	123.6935985	39.81195629	2737	vOTUs	547.4
10	DD3_FDSW220008390-2r	123.6935985	39.81195629	2476	vOTUs	495.2
11	DD5_FDSW220008392-2r	123.6935985	39.81195629	2810	vOTUs	562
12	DD7_FDSW220008394-1r	123.6935985	39.81195629	2653	vOTUs	530.6
13	DD9_FDSW220008396-1r	123.6935985	39.81195629	2647	vOTUs	529.4
14	DD11_FDSW220008398-1r	123.6935985	39.81195629	2662	vOTUs	532.4
15	DD13_FDSW220008400-2r	123.6935985	39.81195629	2575	vOTUs	515
16	DD15_FDSW220008402-2r	123.6935985	39.81195629	2483	vOTUs	496.6
17	DY2_FDME210438600-1b	119.164238	37.79432153	1202	vOTUs	240.4
18	DY3_FDME210438601-1r	119.164238	37.79432153	917	vOTUs	183.4
19	DY6_FDME210438604-1r	119.164238	37.79432153	1295	vOTUs	259
20	DY7_FDME210438605-1r	119.164238	37.79432153	1167	vOTUs	233.4
21	DY10_FDME210438608-1r	119.164238	37.79432153	1451	vOTUs	290.2
22	DY11_FDME210438609-1r	119.164238	37.79432153	1072	vOTUs	214.4
23	DY13_FDME210438611-1b	119.164238	37.79432153	1207	vOTUs	241.4
24	DY15_FDME210438613-1r	119.164238	37.79432153	1165	vOTUs	233
25	LYG1_FDME210455382-1r	119.2052329	34.89410646	4650	vOTUs	930
26	LYG3_FDME210455384-1r	119.2052329	34.89410646	4341	vOTUs	868.2
27	LYG5_FDME210455386-1r	119.2052329	34.89410646	4099	vOTUs	819.8
28	LYG6_FDME210455387-1r	119.2052329	34.89410646	3950	vOTUs	790
29	LYG7_FDME210455388-1r	119.2052329	34.89410646	3923	vOTUs	784.6
30	LYG11_FDME210455392-2r	119.2052329	34.89410646	3878	vOTUs	775.6
31	LYG13_FDME210455394-1a	119.2052329	34.89410646	3071	vOTUs	614.2
32	LYG15_FDME210455396-1a	119.2052329	34.89410646	1128	vOTUs	225.6
33	NB1_FDME210455352-1r	122.0301193	29.82061002	6193	vOTUs	1238.6
34	NB2_FDME210455353-1r	122.0301193	29.82061002	5293	vOTUs	1058.6
35	NB4_FDME210455355-1r	122.0301193	29.82061002	6330	vOTUs	1266
36	NB6_FDME210455357-1r	122.0301193	29.82061002	6259	vOTUs	1251.8
37	NB7_FDME210455358-1r	122.0301193	29.82061002	6128	vOTUs	1225.6
38	NB11_FDME210455362-1b	122.0301193	29.82061002	6428	vOTUs	1285.6
39	NB12_FDME210455363-1r	122.0301193	29.82061002	6348	vOTUs	1269.6
40	NB15_FDME210455366-1r	122.0301193	29.82061002	6280	vOTUs	1256
41	SY1_FDME210455397-2a	109.6807945	18.27040352	929	vOTUs	185.8
42	SY3_FDME210455399-2a	109.6807945	18.27040352	1406	vOTUs	281.2
43	SY7_FDME210455403-2a	109.6807945	18.27040352	1408	vOTUs	281.6
44	SY9_FDME210455405-2a	109.6807945	18.27040352	1612	vOTUs	322.4
45	SY11_FDME210455407-1r	109.6807945	18.27040352	1579	vOTUs	315.8
46	SY12_FDME210455408-1r	109.6807945	18.27040352	1677	vOTUs	335.4
47	SY13_FDME210455409-2a	109.6807945	18.27040352	1593	vOTUs	318.6
48	SY15_FDME210455411-2a	109.6807945	18.27040352	1511	vOTUs	302.2
49	ST1_FDME220007465-1r	116.7255591	23.32790454	2792	vOTUs	558.4
50	ST3_L1	116.7255591	23.32790454	1634	vOTUs	326.8
