,X,Y
BH2_FDSW220017122-1r,120269.9441,0
BH4_FDSW220017124-1r,120269.9441,0
BH6_FDSW220017126-1r,120269.9441,0
BH8_FDSW220017128-1r,120269.9441,0
BH10_FDSW220017130-1r,120269.9441,0
BH12_FDSW220017132-1r,120269.9441,0
BH14_FDSW220017134-1r,120269.9441,0
BH15_FDSW220017135-1r,120269.9441,0
DD1_FDSW220008388-1r,785216.4196,1620119.143
DD3_FDSW220008390-2r,785216.4196,1620119.143
DD5_FDSW220008392-2r,785216.4196,1620119.143
DD7_FDSW220008394-1r,785216.4196,1620119.143
DD9_FDSW220008396-1r,785216.4196,1620119.143
DD11_FDSW220008398-1r,785216.4196,1620119.143
DD13_FDSW220008400-2r,785216.4196,1620119.143
DD15_FDSW220008402-2r,785216.4196,1620119.143
DY2_FDME210438600-1b,712342.371,1115605.433
DY3_FDME210438601-1r,712342.371,1115605.433
DY6_FDME210438604-1r,712342.371,1115605.433
DY7_FDME210438605-1r,712342.371,1115605.433
DY10_FDME210438608-1r,712342.371,1115605.433
DY11_FDME210438609-1r,712342.371,1115605.433
DY13_FDME210438611-1b,712342.371,1115605.433
DY15_FDME210438613-1r,712342.371,1115605.433
LYG1_FDME210455382-1r,607249.3932,1120173.332
LYG3_FDME210455384-1r,607249.3932,1120173.332
LYG5_FDME210455386-1r,607249.3932,1120173.332
LYG6_FDME210455387-1r,607249.3932,1120173.332
LYG7_FDME210455388-1r,607249.3932,1120173.332
LYG11_FDME210455392-2r,607249.3932,1120173.332
LYG13_FDME210455394-1a,607249.3932,1120173.332
LYG15_FDME210455396-1a,607249.3932,1120173.332
NB1_FDME210455352-1r,422604.1137,1434870.247
NB2_FDME210455353-1r,422604.1137,1434870.247
NB4_FDME210455355-1r,422604.1137,1434870.247
NB6_FDME210455357-1r,422604.1137,1434870.247
NB7_FDME210455358-1r,422604.1137,1434870.247
NB11_FDME210455362-1b,422604.1137,1434870.247
NB12_FDME210455363-1r,422604.1137,1434870.247
NB15_FDME210455366-1r,422604.1137,1434870.247
SY1_FDME210455397-2a,0,58205.72961
SY3_FDME210455399-2a,0,58205.72961
SY7_FDME210455403-2a,0,58205.72961
SY9_FDME210455405-2a,0,58205.72961
SY11_FDME210455407-1r,0,58205.72961
SY12_FDME210455408-1r,0,58205.72961
SY13_FDME210455409-2a,0,58205.72961
SY15_FDME210455411-2a,0,58205.72961
ST1_FDME220007465-1r,185272.4209,843823.5069
ST3_L1,185272.4209,843823.5069
ST7_FDME220007471-1r,185272.4209,843823.5069
ST9_L1,185272.4209,843823.5069
ST10_L1,185272.4209,843823.5069
ST12_L1,185272.4209,843823.5069
ST13_L1,185272.4209,843823.5069
ST15_L1,185272.4209,843823.5069
WZ1_L1,350848.5327,1322328.073
WZ3_L1,350848.5327,1322328.073
WZ5_L1,350848.5327,1322328.073
WZ7_FDME210455463-1r,350848.5327,1322328.073
WZ10_L1,350848.5327,1322328.073
WZ11_L1,350848.5327,1322328.073
WZ14_L1,350848.5327,1322328.073
WZ15_FDME210455471-1r,350848.5327,1322328.073
XM2_FDME220007436-1r,230303.8422,993329.4152
XM4_FDME220007438-1r,230303.8422,993329.4152
XM6_FDME220007440-1r,230303.8422,993329.4152
XM8_FDME220007442-1r,230303.8422,993329.4152
XM10_FDME220007444-1r,230303.8422,993329.4152
XM12_FDME220007446-1r,230303.8422,993329.4152
XM14_FDME220007448-1r,230303.8422,993329.4152
XM15_FDME220007449-1r,230303.8422,993329.4152
YC1_FDME220007405-1r,532004.0548,1317326.106
YC3_FDME220007407-1r,532004.0548,1317326.106
YC5_FDME220007409-1r,532004.0548,1317326.106
YC7_FDME220007411-1a,532004.0548,1317326.106
YC9_FDME220007413-1r,532004.0548,1317326.106
YC11_FDME220007415-1r,532004.0548,1317326.106
YC13_FDME220007417-1r,532004.0548,1317326.106
YC15_FDME220007419-1r,532004.0548,1317326.106
ZH1_FDSW220008784-1r,152703.1453,500288.0328
ZH3_FDSW220008786-1r,152703.1453,500288.0328
ZH5_FDSW220008788-1r,152703.1453,500288.0328
ZH7_FDSW220008790-1r,152703.1453,500288.0328
ZH9_FDSW220008792-2r,152703.1453,500288.0328
ZH11_FDSW220008794-2r,152703.1453,500288.0328
ZH13_FDSW220008796-2r,152703.1453,500288.0328
ZH15_FDSW220008798-2r,152703.1453,500288.0328
CXD_1412_FDSW210423229-1r,663970.5361,1292708.1
CXD_1414_FDSW210423231-1r,663970.5361,1292708.1
CXD_1604_FDSW210423236-1r,663970.5361,1292708.1
CXD_1609_FDSW210423241-1r,663970.5361,1292708.1
CXD_1610_FDSW210423242-1r,663970.5361,1292708.1
CXD_1611_FDSW210423243-1r,663970.5361,1292708.1
CXD_1612_FDSW210423244-1r,663970.5361,1292708.1
CXD_1613_FDSW210423245-1r,663970.5361,1292708.1
