Type	env	p	r	p_value	r_value
Host	pH	0.001	0.190736201	<0.001	0.1-0.2
Host	Salinity	0.001	0.199107378	<0.001	0.1-0.2
Host	SO42.	0.001	0.245651003	<0.001	>0.2
Host	Moisture	0.001	0.337512088	<0.001	>0.2
Host	TN	0.009	0.115403466	0.001-0.05	0.1-0.2
Host	NH4...N	0.012	0.119348801	0.001-0.05	0.1-0.2
Host	TP	0.028	0.095983235	0.001-0.05	<0.1
Host	TOC	0.034	0.08696184	0.001-0.05	<0.1
Host	NO3...N	0.143	0.052959668	>0.05	<0.1
Host	NO2...N	0.459	0.002330886	>0.05	<0.1
Host	Temperature	0.479	-0.00221555	>0.05	<0.1
mOTUs	TN	0.001	0.125722873	<0.001	0.1-0.2
mOTUs	NH4...N	0.001	0.149795028	<0.001	0.1-0.2
mOTUs	pH	0.001	0.189987248	<0.001	0.1-0.2
mOTUs	Salinity	0.001	0.221672596	<0.001	>0.2
mOTUs	SO42.	0.001	0.23578847	<0.001	>0.2
mOTUs	Moisture	0.001	0.317980775	<0.001	>0.2
mOTUs	TOC	0.023	0.097396765	0.001-0.05	<0.1
mOTUs	TP	0.025	0.105348032	0.001-0.05	0.1-0.2
mOTUs	NO3...N	0.137	0.049116259	>0.05	<0.1
mOTUs	Temperature	0.395	0.012195485	>0.05	<0.1
mOTUs	NO2...N	0.403	0.009619336	>0.05	<0.1
Virus	pH	0.001	0.201323036	<0.001	>0.2
Virus	Salinity	0.001	0.206300177	<0.001	>0.2
Virus	SO42.	0.001	0.231005987	<0.001	>0.2
Virus	Moisture	0.001	0.302825303	<0.001	>0.2
Virus	NH4...N	0.006	0.136964515	0.001-0.05	0.1-0.2
Virus	TOC	0.007	0.110316768	0.001-0.05	0.1-0.2
Virus	TN	0.01	0.098847009	0.001-0.05	<0.1
Virus	TP	0.01	0.104001235	0.001-0.05	0.1-0.2
Virus	NO3...N	0.264	0.027684999	>0.05	<0.1
Virus	Temperature	0.266	0.028301411	>0.05	<0.1
Virus	NO2...N	0.433	0.003391516	>0.05	<0.1
vOTUs	Temperature	0.001	0.092911675	<0.001	<0.1
vOTUs	TN	0.001	0.112225242	<0.001	0.1-0.2
vOTUs	TP	0.001	0.122674226	<0.001	0.1-0.2
vOTUs	TOC	0.001	0.156536255	<0.001	0.1-0.2
vOTUs	pH	0.001	0.179595364	<0.001	0.1-0.2
vOTUs	NH4...N	0.001	0.187590001	<0.001	0.1-0.2
vOTUs	SO42.	0.001	0.240741739	<0.001	>0.2
vOTUs	Salinity	0.001	0.241382524	<0.001	>0.2
vOTUs	Moisture	0.001	0.249174169	<0.001	>0.2
vOTUs	NO2...N	0.005	0.093423715	0.001-0.05	<0.1
vOTUs	NO3...N	0.155	0.030867336	>0.05	<0.1
