name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0.92629453,0.323272893,0.348995792,-0.781392876,0.038010741
BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0.8164878,0.327114027,0.400635536,-0.625185166,0.109262953
BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0.77705613,0.315051137,0.40544193,-0.610646059,0.131967213
BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0.87437182,0.321984031,0.368246121,-0.72316157,0.068231564
BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0.75228435,0.317973488,0.42267726,-0.558510023,0.153518625
BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0.67422443,0.295314539,0.438006287,-0.512140464,0.202489984
BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0.72141607,0.304449601,0.422016661,-0.560508302,0.169027378
DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,0.04522743,0.30767035,0.725125199,0.356380263,0.106593142
DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,0.04390748,0.285982922,0.746807514,0.42196821,0.114658721
DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,0.05305701,0.327648402,0.710023312,0.310697789,0.114976034
DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,0.04160435,0.287338601,0.743598324,0.412260567,0.107667139
DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,0.04538933,0.307198884,0.725742062,0.358246243,0.107230031
DD11_FDSW220008398-1r,BH2_FDSW220017122-1r,0.04677011,0.322311008,0.710939721,0.313469882,0.103163491
DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,0.04427593,0.312231861,0.719630446,0.339758903,0.102046944
DD15_FDSW220008402-2r,BH2_FDSW220017122-1r,0.0458398,0.321462425,0.711135903,0.314063323,0.101406339
DY2_FDME210438600-1b,BH2_FDSW220017122-1r,0.00672716,0.302891843,0.701829477,0.285911837,0.015587476
