name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0.92933527,0.294810998,0.317227816,-0.926729526,0.031788383
BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0.81370706,0.304397398,0.374087203,-0.753731675,0.100186234
BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0.77897831,0.291573274,0.374302173,-0.753077617,0.116778342
BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0.85770389,0.298423604,0.347933135,-0.833306881,0.070568981
BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0.75190211,0.292665444,0.389233439,-0.707648406,0.136523791
BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0.67761256,0.284983117,0.420569413,-0.612306961,0.189626706
BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0.73186529,0.286336081,0.39124151,-0.70153874,0.146995562
DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,0.03632896,0.261146106,0.766707583,0.440837698,0.106659408
DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,0.03605561,0.250466913,0.777568805,0.47388357,0.111933817
DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,0.04294749,0.289490526,0.742393408,0.366860467,0.11013809
DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,0.03221445,0.243024429,0.782172839,0.487891601,0.103682037
DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,0.03744042,0.267715086,0.760768403,0.422767412,0.106394783
DD11_FDSW220008398-1r,BH2_FDSW220017122-1r,0.03894022,0.284138863,0.744866399,0.37438468,0.102081289
DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,0.0358396,0.267494244,0.759734331,0.419621191,0.101791254
DD15_FDSW220008402-2r,BH2_FDSW220017122-1r,0.03638667,0.286389569,0.740556828,0.361272571,0.094090008
DY2_FDME210438600-1b,BH2_FDSW220017122-1r,0.00686368,0.287942881,0.716978228,0.289533367,0.017090574
DY3_FDME210438601-1r,BH2_FDSW220017122-1r,0.03922706,0.348229706,0.678381194,0.17209974,0.076417661
DY6_FDME210438604-1r,BH2_FDSW220017122-1r,0.00494886,0.255769924,0.747931485,0.383710374,0.014471632
DY7_FDME210438605-1r,BH2_FDSW220017122-1r,0.00117712,0.257229803,0.743645557,0.370670201,0.003403027
DY10_FDME210438608-1r,BH2_FDSW220017122-1r,0.00299495,0.259664848,0.74255908,0.367364532,0.008564607
DY11_FDME210438609-1r,BH2_FDSW220017122-1r,0.0008584,0.218604885,0.782066441,0.48756788,0.003070955
DY13_FDME210438611-1b,BH2_FDSW220017122-1r,0.00021003,0.222987967,0.777175263,0.472686198,0.000732013
DY15_FDME210438613-1r,BH2_FDSW220017122-1r,0.00040431,0.240871562,0.759435486,0.418711938,0.001274735
LYG1_FDME210455382-1r,BH2_FDSW220017122-1r,0.06447742,0.342841803,0.702450385,0.245331596,0.132108127
LYG3_FDME210455384-1r,BH2_FDSW220017122-1r,0.05360718,0.299393785,0.740291135,0.360464185,0.132550915
LYG5_FDME210455386-1r,BH2_FDSW220017122-1r,0.05353936,0.303034419,0.736391512,0.348599363,0.130103803
LYG6_FDME210455387-1r,BH2_FDSW220017122-1r,0.05833186,0.336965209,0.704106642,0.250370848,0.121887509
LYG7_FDME210455388-1r,BH2_FDSW220017122-1r,0.05246781,0.333463705,0.703444487,0.248356205,0.110681286
LYG11_FDME210455392-2r,BH2_FDSW220017122-1r,0.0437106,0.243470814,0.791109037,0.515080481,0.142028731
LYG13_FDME210455394-1a,BH2_FDSW220017122-1r,0.05420498,0.291431601,0.749177553,0.387501606,0.139343688
LYG15_FDME210455396-1a,BH2_FDSW220017122-1r,0.03791695,0.126636667,0.907783724,0.870069714,0.271804297
NB1_FDME210455352-1r,BH2_FDSW220017122-1r,0.02747877,0.343292823,0.675262562,0.16261113,0.054051187
NB2_FDME210455353-1r,BH2_FDSW220017122-1r,0.03156403,0.324282061,0.697741472,0.231004465,0.067914743
NB4_FDME210455355-1r,BH2_FDSW220017122-1r,0.02677433,0.331585508,0.686803187,0.197724125,0.055456872
NB6_FDME210455357-1r,BH2_FDSW220017122-1r,0.02555078,0.317668147,0.700223099,0.238554954,0.056320555
NB7_FDME210455358-1r,BH2_FDSW220017122-1r,0.02701009,0.331089066,0.687479826,0.199782836,0.05608428
NB11_FDME210455362-1b,BH2_FDSW220017122-1r,0.02515807,0.317219625,0.700401115,0.239096577,0.055547447
NB12_FDME210455363-1r,BH2_FDSW220017122-1r,0.02488917,0.325544354,0.691670757,0.212533977,0.052881
NB15_FDME210455366-1r,BH2_FDSW220017122-1r,0.02725805,0.341779393,0.67666518,0.166878673,0.053966312
SY1_FDME210455397-2a,BH2_FDSW220017122-1r,0.05508075,0.246544748,0.797375281,0.534145877,0.178142219
SY3_FDME210455399-2a,BH2_FDSW220017122-1r,0.12017536,0.240587646,0.863140584,0.734240476,0.43114529
SY7_FDME210455403-2a,BH2_FDSW220017122-1r,0.08159079,0.245221974,0.821831943,0.608556634,0.273441716
SY9_FDME210455405-2a,BH2_FDSW220017122-1r,0.09472649,0.227424316,0.853416869,0.70465553,0.355464121
SY11_FDME210455407-1r,BH2_FDSW220017122-1r,0.04688059,0.195025457,0.844568408,0.677733595,0.203018959
SY12_FDME210455408-1r,BH2_FDSW220017122-1r,0.07176012,0.207537503,0.853725975,0.705596003,0.295192326
SY13_FDME210455409-2a,BH2_FDSW220017122-1r,0.12783593,0.238963914,0.872583625,0.762971454,0.466796586
SY15_FDME210455411-2a,BH2_FDSW220017122-1r,0.10372809,0.210693505,0.880655174,0.787529592,0.433561914
ST1_FDME220007465-1r,BH2_FDSW220017122-1r,0.14360825,0.288776527,0.830488469,0.634894597,0.413001005
ST3_L1,BH2_FDSW220017122-1r,0.1224909,0.352797068,0.73754555,0.35211059,0.256075309
ST7_FDME220007471-1r,BH2_FDSW220017122-1r,0.11448145,0.318541503,0.769558692,0.449512356,0.276573677
ST9_L1,BH2_FDSW220017122-1r,0.1296611,0.334064788,0.765144718,0.436082596,0.296976843
ST10_L1,BH2_FDSW220017122-1r,0.15612824,0.279718773,0.853543466,0.705040709,0.476415071
ST12_L1,BH2_FDSW220017122-1r,0.15211564,0.27372478,0.856573437,0.714259565,0.476019076
ST13_L1,BH2_FDSW220017122-1r,0.1658854,0.324659465,0.80964958,0.571491115,0.413692065
ST15_L1,BH2_FDSW220017122-1r,0.14918421,0.314619786,0.805556528,0.559037779,0.381973162
WZ1_L1,BH2_FDSW220017122-1r,0.03332468,0.314003877,0.709644809,0.267221032,0.075313357
WZ3_L1,BH2_FDSW220017122-1r,0.03251522,0.312785415,0.710310487,0.269246394,0.073839446
WZ5_L1,BH2_FDSW220017122-1r,0.03198111,0.303447759,0.719564719,0.29740291,0.075836706
WZ7_FDME210455463-1r,BH2_FDSW220017122-1r,0.03274666,0.308415395,0.714998416,0.283509677,0.075916476
WZ10_L1,BH2_FDSW220017122-1r,0.03400637,0.330763027,0.692796466,0.215959009,0.07122771
WZ11_L1,BH2_FDSW220017122-1r,0.03327187,0.320778617,0.702598137,0.245781139,0.072875038
WZ14_L1,BH2_FDSW220017122-1r,0.03069058,0.310641831,0.711184844,0.271906673,0.070263156
WZ15_FDME210455471-1r,BH2_FDSW220017122-1r,0.03454794,0.335350327,0.688433637,0.202684859,0.07092274
XM2_FDME220007436-1r,BH2_FDSW220017122-1r,0.14767652,0.327009161,0.789595564,0.510475655,0.356579383
XM4_FDME220007438-1r,BH2_FDSW220017122-1r,0.12822987,0.349141044,0.746594696,0.379643121,0.274203627
XM6_FDME220007440-1r,BH2_FDSW220017122-1r,0.12328861,0.353654138,0.737239038,0.351178009,0.257011488
XM8_FDME220007442-1r,BH2_FDSW220017122-1r,0.11183872,0.358378538,0.722415486,0.306076526,0.225443253
XM10_FDME220007444-1r,BH2_FDSW220017122-1r,0.11994164,0.363497268,0.723250594,0.308617389,0.238647907
XM12_FDME220007446-1r,BH2_FDSW220017122-1r,0.12580427,0.352665453,0.740491545,0.361073944,0.264151188
XM14_FDME220007448-1r,BH2_FDSW220017122-1r,0.13257425,0.34507854,0.755017314,0.405269404,0.290066876
XM15_FDME220007449-1r,BH2_FDSW220017122-1r,0.1367849,0.342968326,0.761144787,0.423912583,0.303564806
YC1_FDME220007405-1r,BH2_FDSW220017122-1r,0.02765518,0.334550251,0.684376299,0.190340182,0.056573115
YC3_FDME220007407-1r,BH2_FDSW220017122-1r,0.03022498,0.344320031,0.676115548,0.165206386,0.059350537
YC5_FDME220007409-1r,BH2_FDSW220017122-1r,0.02881868,0.335109449,0.684620408,0.191082896,0.058875858
YC7_FDME220007411-1a,BH2_FDSW220017122-1r,0.02572319,0.335153446,0.682400061,0.184327367,0.052374537
YC9_FDME220007413-1r,BH2_FDSW220017122-1r,0.0281627,0.346429746,0.67250995,0.154236154,0.054671102
YC11_FDME220007415-1r,BH2_FDSW220017122-1r,0.0249423,0.322595593,0.694732637,0.221849918,0.053715024
YC13_FDME220007417-1r,BH2_FDSW220017122-1r,0.02705746,0.333860346,0.684664948,0.191218413,0.055488154
