Type	env	p	r	p_value	r_value
Host	Moisture	0.001	0.333792409	<0.001	>0.2
Host	SO42.	0.001	0.23578847	<0.001	>0.2
Host	Salinity	0.001	0.202529024	<0.001	>0.2
Host	pH	0.001	0.198324321	<0.001	0.1-0.2
Host	NH4...N	0.012	0.120435377	0.001-0.05	0.1-0.2
Host	TN	0.003	0.118081507	0.001-0.05	0.1-0.2
Host	TP	0.039	0.092934598	0.001-0.05	<0.1
Host	TOC	0.036	0.085670138	0.001-0.05	<0.1
Host	NO3...N	0.138	0.05268612	>0.05	<0.1
Host	Temperature	0.395	0.012195485	>0.05	<0.1
Host	NO2...N	0.528	0.009619336	>0.05	<0.1
mOTUs	Moisture	0.001	0.317980775	<0.001	>0.2
mOTUs	SO42.	0.001	0.23578847	<0.001	>0.2
mOTUs	Salinity	0.001	0.221672596	<0.001	>0.2
mOTUs	pH	0.001	0.189987248	<0.001	0.1-0.2
mOTUs	NH4...N	0.001	0.149795028	<0.001	0.1-0.2
mOTUs	TN	0.001	0.125722873	<0.001	0.1-0.2
mOTUs	TP	0.025	0.105348032	0.001-0.05	0.1-0.2
mOTUs	TOC	0.023	0.097396765	0.001-0.05	<0.1
mOTUs	NO3...N	0.137	0.049116259	>0.05	<0.1
mOTUs	Temperature	0.395	0.012195485	>0.05	<0.1
mOTUs	NO2...N	0.403	0.009619336	>0.05	<0.1
Virus (host)	Moisture	0.001	0.301797536	<0.001	>0.2
Virus (host)	SO42.	0.001	0.229662551	<0.001	>0.2
Virus (host)	Salinity	0.001	0.206666152	<0.001	>0.2
Virus (host)	pH	0.001	0.20306496	<0.001	>0.2
Virus (host)	NH4...N	0.002	0.136214139	0.001-0.05	0.1-0.2
Virus (host)	TOC	0.01	0.107477287	0.001-0.05	0.1-0.2
Virus (host)	TN	0.007	0.098879699	0.001-0.05	<0.1
Virus (host)	Temperature	0.244	0.026639666	>0.05	<0.1
Virus (host)	NO2...N	0.426	0.002695575	>0.05	<0.1
Virus (host)	TP	0.015	0.105134742	0.001-0.05	0.1-0.2
Virus (host)	NO3...N	0.255	0.024561058	>0.05	<0.1
vOTUs	Moisture	0.001	0.249174169	<0.001	>0.2
vOTUs	Salinity	0.001	0.241382524	<0.001	>0.2
vOTUs	SO42.	0.001	0.240741739	<0.001	>0.2
vOTUs	NH4...N	0.001	0.187590001	<0.001	0.1-0.2
vOTUs	pH	0.001	0.179595364	<0.001	0.1-0.2
vOTUs	TOC	0.001	0.156536255	<0.001	0.1-0.2
vOTUs	TP	0.001	0.122674226	<0.001	0.1-0.2
vOTUs	TN	0.001	0.112225242	<0.001	0.1-0.2
vOTUs	NO2...N	0.005	0.093423715	0.001-0.05	<0.1
vOTUs	Temperature	0.001	0.092911675	<0.001	<0.1
vOTUs	NO3...N	0.155	0.030867336	>0.05	<0.1
