name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0.8713498,0.132357954,0.151899908,-2.520723692,0.02252306
BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0.7512203,0.132968928,0.177003907,-2.413484377,0.050788236
BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0.711079,0.132034599,0.185682039,-2.376413112,0.061808271
BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0.7931049,0.131935411,0.16635304,-2.458982771,0.039648696
BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0.6724312,0.13390372,0.199133711,-2.318950232,0.075314942
BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0.5824145,0.138005276,0.236953709,-2.157390687,0.114790068
BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0.6254737,0.133067548,0.212746831,-2.260797678,0.091909448
DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,0.0119443,0.152134566,0.858115018,0.496087496,0.067371824
DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,0.0173066,0.163171681,0.851566032,0.468111524,0.090320285
DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,0.0156328,0.171192579,0.841969766,0.427118176,0.076886189
DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,0.0150205,0.168747402,0.843928831,0.435486916,0.075119575
DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,0.0187068,0.162754516,0.853206243,0.475118182,0.098066456
DD11_FDSW220008398-1r,BH2_FDSW220017122-1r,0.0177843,0.161419836,0.853763755,0.477499764,0.094062732
DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,0.014253,0.167196577,0.844844999,0.4394006,0.072020468
DD15_FDSW220008402-2r,BH2_FDSW220017122-1r,0.0159679,0.162995971,0.850586103,0.463925464,0.083327666
DY2_FDME210438600-1b,BH2_FDSW220017122-1r,0.0034636,0.126304199,0.876732452,0.575617489,0.024042356
DY3_FDME210438601-1r,BH2_FDSW220017122-1r,0.0222808,0.083821005,0.937057383,0.833313658,0.249083009
DY6_FDME210438604-1r,BH2_FDSW220017122-1r,0.0010924,0.113266554,0.887703173,0.622482241,0.008561459
DY7_FDME210438605-1r,BH2_FDSW220017122-1r,0.0004739,0.108320869,0.892101898,0.641272725,0.003902915
DY10_FDME210438608-1r,BH2_FDSW220017122-1r,0.0016593,0.13667287,0.864762029,0.524482215,0.010498789
DY11_FDME210438609-1r,BH2_FDSW220017122-1r,0.0013482,0.110432214,0.890768721,0.635577653,0.010874856
DY13_FDME210438611-1b,BH2_FDSW220017122-1r,0.0002741,0.09583875,0.904409148,0.69384686,0.002586621
DY15_FDME210438613-1r,BH2_FDSW220017122-1r,0.0007183,0.113339296,0.88729805,0.620751635,0.005623347
LYG1_FDME210455382-1r,BH2_FDSW220017122-1r,0.0155845,0.183309013,0.829620204,0.374363289,0.070532353
LYG3_FDME210455384-1r,BH2_FDSW220017122-1r,0.0177424,0.186418233,0.828277396,0.36862708,0.0788315
