name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0.8903966,0.325270375,0.365309543,-0.864607852,0.059341055
BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0.7907304,0.323921429,0.409648382,-0.724239384,0.126800281
BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0.7044875,0.300823729,0.427010741,-0.669273405,0.18047954
BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0.8455612,0.327415458,0.387216747,-0.795253741,0.088912673
BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0.700946,0.302068759,0.430944408,-0.656820152,0.18465379
BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0.5941865,0.264334549,0.444867981,-0.612740725,0.245401537
BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0.6262726,0.27171076,0.433853821,-0.647609494,0.222635529
DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,0.0440498,0.351288736,0.678603618,0.127222558,0.085093402
DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,0.0478197,0.342337921,0.690690702,0.165488004,0.09647959
DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,0.0520509,0.346288861,0.689605738,0.162053213,0.103655079
DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,0.0453076,0.343636063,0.687513524,0.155429656,0.090647028
DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,0.0514436,0.344952953,0.690572587,0.165114076,0.102986624
DD11_FDSW220008398-1r,BH2_FDSW220017122-1r,0.0468289,0.342172985,0.690145783,0.163762895,0.094451547
DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,0.0449763,0.350004586,0.68060658,0.133563563,0.087459328
DD15_FDSW220008402-2r,BH2_FDSW220017122-1r,0.0448735,0.336825341,0.694331755,0.177014897,0.092502232
DY2_FDME210438600-1b,BH2_FDSW220017122-1r,0.0062724,0.301398601,0.703010965,0.204491653,0.014630347
DY3_FDME210438601-1r,BH2_FDSW220017122-1r,0.0503983,0.176127088,0.867598397,0.725544659,0.248260985
DY6_FDME210438604-1r,BH2_FDSW220017122-1r,0.002518,0.294346564,0.707434757,0.218496549,0.00605178
DY7_FDME210438605-1r,BH2_FDSW220017122-1r,0.0010977,0.268112203,0.732692074,0.298456488,0.002999774
DY10_FDME210438608-1r,BH2_FDSW220017122-1r,0.0035726,0.32167783,0.680754233,0.134031004,0.007560554
DY11_FDME210438609-1r,BH2_FDSW220017122-1r,0.0016339,0.285523988,0.715645305,0.244489608,0.004095253
DY13_FDME210438611-1b,BH2_FDSW220017122-1r,0.0005147,0.224815032,0.775584162,0.434244811,0.001775652
DY15_FDME210438613-1r,BH2_FDSW220017122-1r,0.001436,0.27571584,0.725325728,0.275136016,0.003777686
LYG1_FDME210455382-1r,BH2_FDSW220017122-1r,0.054288,0.384567215,0.650761315,0.039079039,0.091865684
LYG3_FDME210455384-1r,BH2_FDSW220017122-1r,0.055135,0.379145962,0.657082269,0.059089997,0.0955522
LYG5_FDME210455386-1r,BH2_FDSW220017122-1r,0.0476834,0.364644262,0.667168606,0.091021452,0.087243571
LYG6_FDME210455387-1r,BH2_FDSW220017122-1r,0.0630257,0.377229324,0.664661427,0.083084193,0.111048503
