Virus,Host genome,Host taxonomy,Main method,Confidence score,Additional methods
FJ_XM_contig_10088049||full,HN_SY_bin_151,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,blast,93.5,iPHoP-RF;69.30
FJ_XM_contig_10088049||full,GD_ZH_bin_219,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,blast,92.9,iPHoP-RF;69.80
FJ_XM_contig_10088049||full,JS_LYG_bin_116,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,blast,92.4,iPHoP-RF;73.20
FJ_XM_contig_10088049||full,ZJ_WZ_bin_81,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,blast,92.1,iPHoP-RF;63.00
FJ_XM_contig_10088049||full,JS_YC_bin_156,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,blast,91.8,iPHoP-RF;62.50
FJ_XM_contig_10421780||full,ZJ_WZ_bin_92,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,93.6,iPHoP-RF;51.20
FJ_XM_contig_10421780||full,JS_LYG_bin_59,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,92.1,None
FJ_XM_contig_10563041,SD_QD_bin_112,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__,iPHoP-RF,90.5,None
FJ_XM_contig_10734614,RS_GCF_012911895.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Bacillaceae_B;g__Rossellomorea;s__Rossellomorea sp012911895,blast,93.8,iPHoP-RF;72.60
FJ_XM_contig_10734614,RS_GCF_008180865.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Bacillaceae_B;g__Rossellomorea;s__Rossellomorea aquimaris_D,blast,91.8,iPHoP-RF;68.90
FJ_XM_contig_1078496||full,GB_GCA_009937525.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__JAACFE01 sp009937525,blast,91.5,iPHoP-RF;58.20
FJ_XM_contig_10888869||full,RS_GCF_900099625.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis,blast,96.7,iPHoP-RF;93.10
FJ_XM_contig_10888869||full,HN_SY_bin_59,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__,blast,96.5,iPHoP-RF;90.10
FJ_XM_contig_10888869||full,RS_GCF_004210295.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp004210295,blast,93.2,iPHoP-RF;79.50
FJ_XM_contig_10888869||full,RS_GCF_006965445.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp006965445,blast,90.4,iPHoP-RF;77.10
FJ_XM_contig_10888869||full,RS_GCF_003627095.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp003627095,blast,90.1,iPHoP-RF;76.10
FJ_XM_contig_11008764,RS_GCF_004310295.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp004310295,blast,92.9,iPHoP-RF;51.50
FJ_XM_contig_11008764,RS_GCF_000633255.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp000633255,blast,92.6,iPHoP-RF;52.80
