contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
SD_QD_contig_14843207	228668	No	NA	303	24	2	Medium-quality	Genome-fragment	85.08	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_28142080	208634	No	NA	298	22	11	High-quality	High-quality	93.89	HMM-based (lower-bound)	0	1	
FJ_XM_contig_23630186	184616	No	NA	261	23	3	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_WZ_contig_21191177	179610	No	NA	225	10	7	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	
HN_SY_contig_45295	157602	No	NA	221	18	4	Medium-quality	Genome-fragment	86.55	AAI-based (medium-confidence)	0	1	
GX_BH_contig_18685948	149515	No	NA	249	28	7	Medium-quality	Genome-fragment	61.86	HMM-based (lower-bound)	0	1	
HN_SY_contig_176805	145869	No	NA	147	9	5	Medium-quality	Genome-fragment	82.11	AAI-based (medium-confidence)	0	1	
SD_QD_contig_4707579	133749	No	NA	175	12	4	Medium-quality	Genome-fragment	67.13	HMM-based (lower-bound)	0	1	low-confidence DTR
JS_LYG_contig_21341706	133561	No	NA	135	9	3	Medium-quality	Genome-fragment	76.09	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_13064791	132237	No	NA	139	16	1	Medium-quality	Genome-fragment	70.48	AAI-based (medium-confidence)	0	1	
LN_DD_contig_9678240	126965	No	NA	159	15	1	Medium-quality	Genome-fragment	66.29	AAI-based (medium-confidence)	0	1	
LN_DD_contig_24749846||full	126291	No	NA	159	51	7	Low-quality	Genome-fragment	24.72	AAI-based (high-confidence)	0	1.01	
JS_YC_contig_23352793	125112	No	NA	183	37	8	Medium-quality	Genome-fragment	57.61	HMM-based (lower-bound)	0	1	
SD_DY_contig_1852782||full	123231	No	NA	185	13	17	Low-quality	Genome-fragment	26.73	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_23031562	119646	No	NA	138	6	5	Medium-quality	Genome-fragment	65.96	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_17175347	119616	No	NA	185	13	17	Medium-quality	Genome-fragment	79.59	HMM-based (lower-bound)	0	1.01	
LN_DD_contig_5901156	118177	No	NA	171	16	2	Medium-quality	Genome-fragment	60.43	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_1955090	117238	No	NA	78	5	0	Medium-quality	Genome-fragment	50.19	HMM-based (lower-bound)	0	1	
FJ_XM_contig_19801164	111369	No	NA	120	18	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
HN_SY_contig_33296128	108700	No	NA	150	7	3	Medium-quality	Genome-fragment	61.66	AAI-based (medium-confidence)	0	1	
HN_SY_contig_34406230	108682	No	NA	141	23	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	
JS_LYG_contig_15821115	108171	No	NA	100	8	6	Medium-quality	Genome-fragment	54.17	AAI-based (medium-confidence)	0	1	
JS_YC_contig_13725386	104407	No	NA	129	9	5	Medium-quality	Genome-fragment	50	AAI-based (medium-confidence)	0	1	
JS_YC_contig_25056188	103896	No	NA	97	7	3	Low-quality	Genome-fragment	49.42	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_15505254	101228	No	NA	128	52	3	Medium-quality	Genome-fragment	58.22	AAI-based (medium-confidence)	0	1	
SD_DY_contig_22781247	100772	No	NA	178	11	13	Low-quality	Genome-fragment	21.86	AAI-based (high-confidence)	0	1	
SD_QD_contig_279825	98287	No	NA	122	26	3	Medium-quality	Genome-fragment	71.54	AAI-based (medium-confidence)	0	1	
HN_SY_contig_20673129||full	96472	No	NA	104	18	0	Complete	High-quality	100	DTR (medium-confidence)	0	1	
FJ_XM_contig_17914722	95240	No	NA	174	57	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
LN_DD_contig_1990040||full	94969	No	NA	109	31	1	Low-quality	Genome-fragment	16.6	AAI-based (medium-confidence)	0	1.01	
ZJ_WZ_contig_19258696	94837	No	NA	126	14	1	Medium-quality	Genome-fragment	71.22	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_13440536	94798	No	NA	92	8	2	High-quality	High-quality	91.57	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_12795652	94638	No	NA	121	39	2	High-quality	High-quality	91.07	AAI-based (high-confidence)	0	1.01	
JS_LYG_contig_6777554||full	93625	No	NA	105	15	0	Medium-quality	Genome-fragment	88.3	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_10208478	93439	No	NA	63	5	3	Low-quality	Genome-fragment	49.23	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_27245864	93183	No	NA	140	19	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
LN_DD_contig_21224243	92004	No	NA	112	44	5	Medium-quality	Genome-fragment	51.34	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_2899540	90288	No	NA	140	4	3	Medium-quality	Genome-fragment	85.7	HMM-based (lower-bound)	0	1	
JS_YC_contig_14240859	90005	No	NA	83	19	3	Low-quality	Genome-fragment	23.13	AAI-based (high-confidence)	0	1	
LN_DD_contig_20461756	89912	No	NA	140	24	1	High-quality	High-quality	96.9	AAI-based (medium-confidence)	0	1	
JS_YC_contig_24016961	89206	No	NA	132	9	1	Low-quality	Genome-fragment	48.06	HMM-based (lower-bound)	0	1	
SD_QD_contig_27765247||full_1	88867	No	NA	85	49	1	Low-quality	Genome-fragment	49.83	AAI-based (medium-confidence)	0	1.02	
SD_DY_contig_2194780	88825	No	NA	106	9	6	Medium-quality	Genome-fragment	56.4	AAI-based (medium-confidence)	0	1	
GX_BH_contig_12311611||full	87202	No	NA	109	14	1	Medium-quality	Genome-fragment	79.9	AAI-based (medium-confidence)	0	1.01	
SD_DY_contig_8815207	87179	No	NA	129	70	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
FJ_XM_contig_30570372	83309	No	NA	135	17	2	High-quality	High-quality	91.73	AAI-based (medium-confidence)	0	1	
GD_ZH_contig_27017765	82462	No	NA	116	11	2	Complete	High-quality	100	DTR (high-confidence)	0	1	
JS_YC_contig_469125	81380	No	NA	69	11	0	Low-quality	Genome-fragment	32.7	AAI-based (high-confidence)	0	1	
GX_BH_contig_33009557	81265	No	NA	83	18	0	Low-quality	Genome-fragment	33.97	AAI-based (medium-confidence)	0	1	
LN_DD_contig_7626743	81248	No	NA	82	21	3	Low-quality	Genome-fragment	15.85	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_2872412	80540	No	NA	158	10	3	Medium-quality	Genome-fragment	66.12	HMM-based (lower-bound)	0	1	
HN_SY_contig_27212223	80311	No	NA	99	36	0	Medium-quality	Genome-fragment	54.23	AAI-based (medium-confidence)	0	1	
ZJ_NB_contig_22382593	80188	No	NA	89	19	8	Medium-quality	Genome-fragment	53.92	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_11527234	79875	No	NA	107	3	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
JS_LYG_contig_23996425	79404	No	NA	183	13	6	Low-quality	Genome-fragment	48.69	HMM-based (lower-bound)	0	1	
JS_LYG_contig_83457	77023	No	NA	117	6	5	Medium-quality	Genome-fragment	60.58	HMM-based (lower-bound)	0	1	low-confidence DTR
JS_LYG_contig_1821175	76255	No	NA	110	23	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
HN_SY_contig_33659228||full	76251	No	NA	107	18	4	High-quality	High-quality	91.17	HMM-based (lower-bound)	0	1.01	
ZJ_NB_contig_15474663||full	76072	No	NA	115	6	2	Medium-quality	Genome-fragment	55.89	AAI-based (medium-confidence)	0	1	
JS_YC_contig_8448175	75395	No	NA	67	12	0	Low-quality	Genome-fragment	38.06	AAI-based (high-confidence)	0	1.01	
SD_DY_contig_4391402||full	75017	No	NA	79	13	6	Low-quality	Genome-fragment	17.39	AAI-based (medium-confidence)	0	1	
JS_YC_contig_10511516_fragment_1	74637	No	NA	138	7	7	Medium-quality	Genome-fragment	56.85	HMM-based (lower-bound)	0	1	
GD_ZH_contig_25740450	74194	No	NA	99	15	1	Medium-quality	Genome-fragment	76.87	HMM-based (lower-bound)	0	1	low-confidence DTR
ZJ_NB_contig_22913908	73453	No	NA	156	8	6	Low-quality	Genome-fragment	40.83	HMM-based (lower-bound)	0	1.01	
ZJ_WZ_contig_6163631	73099	No	NA	80	4	5	Medium-quality	Genome-fragment	73.02	HMM-based (lower-bound)	0	1	
JS_YC_contig_25297507	73021	No	NA	86	13	1	Low-quality	Genome-fragment	22.09	AAI-based (medium-confidence)	0	1.01	
GD_ZH_contig_18692160||full	72797	No	NA	95	16	2	Medium-quality	Genome-fragment	60.48	HMM-based (lower-bound)	0	1	
JS_YC_contig_12279870	72629	No	NA	95	10	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
JS_YC_contig_12609450	72597	No	NA	104	8	0	Complete	High-quality	100	DTR (medium-confidence)	0	1	
