contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
SD_QD_contig_14843207	228668	NA	290915.7502	78.60282568	low	17.73665862	5	705189	35.41	12.28	85.08245344	98.70892533	22	1
ZJ_NB_contig_28142080	208634	NA	280676.1705	74.33263738	low	10.27708039	2	DTR_202747	40.9	18.98	93.89044444	100	21	1
FJ_XM_contig_23630186	184616	NA	165323.1376	100	low	13.01532465	5	673522	40.39	15.74	90.26836047	100	23	1
ZJ_WZ_contig_21191177	179610	NA	164672.0506	100	medium	7.231208373	2	DTR_318026	47.54	44.95	97.62884864	100	10	1
HN_SY_contig_45295	157602	NA	182089.3189	86.55202897	medium	9.409526404	39	DTR_715909	35.52	13.95	83.791988	100	17	1
GX_BH_contig_18685948	149515	NA	244501.5878	61.15093212	low	17.73665862	11	GCA_016865805.1	33.49	10.75	61.85779672	92.59827884	27	1
HN_SY_contig_176805	145869	NA	177641.312	82.1143451	medium	5.031871347	5	DTR_186934	42.55	43.72	82.22078273	99.47146615	9	1
SD_QD_contig_4707579	133749	NA	114093.0018	100	low	17.73665862	2	3300022241|Ga0236242_1000006	34.91	11.62	67.13400119	99.99519758	12	1
JS_LYG_contig_21341706	133561	NA	193264.6932	69.10781156	low	12.18694396	2	DTR_890410	30.33	25.91	76.09091674	100	9	1
ZJ_WZ_contig_13064791	132237	NA	187610.5287	70.48485016	medium	8.402024752	6	DTR_025130	48.96	56.55	90.35484746	99.47138861	16	1
LN_DD_contig_9678240	126965	NA	191529	66.29022237	medium	6.326123077	1	DTR_327787	46.28	34.79	67.70363227	95.56104993	15	1
LN_DD_contig_24749846||full	126291	NA	510861.4427	24.72118454	high	4.236883803	2	3300020704|Ga0214250_1000002	42.25	47.07	18.19239989	61.57586638	44	1.01
JS_YC_contig_23352793	125112	NA	208304.7791	60.0619921	low	21.87995547	129	DTR_233327	40.25	8.75	57.60860089	88.65333475	36	1
SD_DY_contig_1852782||full	123231	NA	461058	26.72787372	medium	7.005474789	1	794706	57.33	54.04	54.64789238	95.74893763	13	1
JS_LYG_contig_23031562	119646	NA	181388.8794	65.96104481	medium	5.566490307	5	DTR_106521	43.33	49.06	74.2916615	98.6450945	6	1
JS_LYG_contig_17175347	119616	NA	218214.589	54.8157667	low	34.01282761	19	3300043177|Ga0484859_0000267	47.99	4.83	79.59254251	99.42957571	13	1.01
LN_DD_contig_5901156	118177	NA	132452.6232	89.22209102	low	34.01282761	30	3300001202|BBAY72_13256681	50.38	6.44	60.42879275	97.87840098	16	1
ZJ_WZ_contig_1955090	117238	NA	209035.102	56.08531719	low	33.43057292	2	GCA_000846065.1	27.69	6.48	50.18543689	95.90292052	3	1
FJ_XM_contig_19801164	111369	NA	114634.0745	97.15174176	high	1.690417807	11	DTR_117221	63.68	83.43	71.4723169	100	18	1
HN_SY_contig_33296128	108700	NA	176303.4599	61.65505775	medium	7.783521358	3	DTR_106521	43.27	29.7	63.91814929	100	7	1
HN_SY_contig_34406230	108682	NA	107818	100	high	1.317152923	1	DTR_201386	67.63	92.17	84.89601979	100	18	1
JS_LYG_contig_15821115	108171	NA	199695.187	54.16805563	medium	9.873911259	5	DTR_890410	30.08	19.04	66.71879166	100	8	1
JS_YC_contig_13725386	104407	NA	208818.6797	49.99887949	medium	8.21957329	2	DTR_202280	48.06	41.49	51.18289524	94.27162438	9	1
JS_YC_contig_25056188	103896	NA	210220	49.42250975	medium	9.692831979	1	DTR_043244	49.58	62.53	62.76847185	92.71067702	6	1
JS_LYG_contig_15505254	101228	NA	173864.8696	58.22222754	medium	5.123606497	110	GCA_902991775.1	46.37	42.04	44.58192914	71.04907149	50	1
SD_DY_contig_22781247	100772	NA	461058	21.85668614	high	4.647529984	1	794706	55.71	42.18	39.66897416	89.09837218	11	1
SD_QD_contig_279825	98287	NA	137391.2212	71.5380496	medium	7.783521358	10	DTR_226654	42.77	30.49	52.76445883	98.88761914	26	1
HN_SY_contig_20673129||full	96472	NA	113231	85.19928288	medium	8.866298378	1	DTR_200414	49.16	34.83	67.53405832	93.03909565	17	1
FJ_XM_contig_17914722	95240	NA	90760.50485	100	medium	7.288705512	9	287646	45.06	24.62	71.77126509	93.96101736	52	1
LN_DD_contig_1990040||full	94969	NA	571970.162	16.60383816	medium	5.566490307	3	3300020704|Ga0214250_1000002	43.62	48.61	13.50403054	39.65097847	28	1.01
ZJ_WZ_contig_19258696	94837	NA	106618.8021	88.9496019	low	10.27708039	8	3300028615|Ga0309935_100024	41.7	22.2	71.21741879	100	14	1
ZJ_NB_contig_13440536	94798	NA	103523.7068	91.57129602	medium	9.409526404	3	3300010412|Ga0136852_10000031	35.32	14.98	57.62532994	99.69810101	8	1
JS_LYG_contig_12795652	94638	NA	103920.1535	91.06799482	high	2.338300873	14	DTR_888536	60.53	28.76	73.5499975	92.47312851	35	1.01
JS_LYG_contig_6777554||full	93625	NA	106030.2225	88.30029567	medium	7.907834693	2	DTR_200418	50.82	49.78	60.53339552	90.02049005	15	1
JS_LYG_contig_10208478	93439	NA	195846.1361	47.71041282	low	34.92573207	8	670562	32.83	6.33	49.22849496	100	5	1
ZJ_WZ_contig_27245864	93183	NA	99467.55479	93.68180428	medium	6.553138374	5	GCA_020492515.1	42.46	26.88	82.37368897	100	19	1
LN_DD_contig_21224243	92004	NA	179190.6925	51.34418464	medium	7.907834693	115	GCA_902983345.1	51.25	50.35	39.60172867	65.29455742	42	1
JS_LYG_contig_2899540	90288	NA	84728.50698	100	low	22.94139565	5	3300035564|Ga0393582_0808563	44.77	11.22	85.70195653	100	4	1
JS_YC_contig_14240859	90005	NA	389065.7955	23.13361931	high	4.588272363	9	3300020704|Ga0214250_1000002	40.54	47.98	10.85639767	39.25132975	18	1
LN_DD_contig_20461756	89912	NA	92786.64131	96.9018802	medium	7.783521358	20	DTR_173662	44.06	30.23	77.28151089	98.8762466	23	1
JS_YC_contig_24016961	89206	NA	169507.9641	52.62643586	low	32.88371144	93	DTR_511981	25.85	5.42	48.06321222	67.09515861	9	1
SD_QD_contig_27765247||full_1	88867	NA	178325.7669	49.834077	medium	8.402024752	118	GCA_902983345.1	47.68	55.78	40.79119092	61.62976161	44	1.02
SD_DY_contig_2194780	88825	NA	157493.6416	56.39910226	medium	9.62499348	12	DTR_220175	32.1	16.99	45.79279439	98.29584408	9	1
GX_BH_contig_12311611||full	87202	NA	109135.8565	79.90224548	medium	5.566490307	5	3300028615|Ga0309935_100024	43.4	47.55	62.51555365	98.99936862	14	1.01
SD_DY_contig_8815207	87179	NA	86616	100	high	3.913018086	1	GCA_009656875.1	66.19	62.36	74.57590756	97.80140897	68	1
FJ_XM_contig_30570372	83309	NA	90815.82817	91.73400901	medium	6.553138374	24	DTR_173662	41.58	25.94	73.23705579	100	17	1
GD_ZH_contig_27017765	82462	NA	85253.92035	96.72517071	medium	7.783521358	2	3300028610|Ga0309788_100048	43.67	27.75	91.96208606	100	11	1
JS_YC_contig_469125	81380	NA	248840.9208	32.70362436	high	3.520446625	18	GCA_003032995.1	37.19	52.98	9.930086683	58.37291449	11	1
GX_BH_contig_33009557	81265	NA	239232.0221	33.96911471	medium	7.350806228	8	3300037418|Ga0395900_0000038	32.88	25.75	39.58171335	63.15013434	18	1
LN_DD_contig_7626743	81248	NA	512637.6911	15.84901021	medium	5.031871347	2	3300020704|Ga0214250_1000002	44.08	46.68	8.853679347	36.00556039	20	1
JS_LYG_contig_2872412	80540	NA	88859	90.63797702	low	10.27708039	1	DTR_267566	41.76	19.62	66.1150445	96.2999641	10	1
HN_SY_contig_27212223	80311	NA	148104.3208	54.22596692	medium	8.714984438	4	GCA_002607585.1	49.43	68.52	51.23431285	90.7956797	34	1
ZJ_NB_contig_22382593	80188	NA	148709.2789	53.92266076	medium	7.783521358	5	GCA_902987905.1	45.42	31.39	83.21152273	100	19	1
JS_LYG_contig_11527234	79875	NA	82286	97.06997545	medium	7.288705512	1	3300001687|WOR8_10000098	46.11	22.51	66.36164644	100	3	1
JS_LYG_contig_23996425	79404	NA	237951.2162	33.36986516	low	35.94398439	63	DTR_202284	39.95	7.25	48.68984645	83.14370891	13	1
JS_LYG_contig_83457	77023	NA	75131.54676	100	low	12.25611471	6	DTR_200450	47.22	18.11	60.57793899	100	6	1
JS_LYG_contig_1821175	76255	NA	54228.26702	100	medium	7.288705512	5	GCA_000857585.1	42.64	25.79	85.7829819	99.80928811	23	1
HN_SY_contig_33659228||full	76251	NA	64699.43361	100	low	28.6097154	45	DTR_363000	25.56	8.16	91.17306383	100	16	1.01
ZJ_NB_contig_15474663||full	76072	NA	136103	55.89296342	medium	5.031871347	1	DTR_144446	46.3	44.7	52.58205452	79.96891633	6	1
JS_YC_contig_8448175	75395	NA	198093.4266	38.060324	high	3.520446625	13	GCA_003032965.1	35.91	55.77	7.257611585	48.22034075	12	1.01
SD_DY_contig_4391402||full	75017	NA	431384.8789	17.3898075	medium	7.350806228	4	3300042542|Ga0453075_0000001	37.27	22.79	32.44948994	55.69668595	13	1
JS_YC_contig_10511516_fragment_1	74637	NA	322389.5898	23.15118178	low	21.87995547	13	951217	38.79	10.48	56.85315159	95.47284484	7	1
GD_ZH_contig_25740450	74194	NA	103736.8991	71.52132043	low	13.01532465	11	DTR_041643	40.34	16.9	76.87472265	99.55057564	15	1
ZJ_NB_contig_22913908	73453	NA	346781.445	21.18135242	low	21.87995547	10	DTR_508117	38.37	11.04	40.82512743	81.12594431	7	1.01
ZJ_WZ_contig_6163631	73099	NA	81001.25323	90.24428276	low	13.01532465	5	DTR_200450	40.84	14.45	73.02211364	100	4	1
JS_YC_contig_25297507	73021	NA	330499.458	22.09413608	medium	9.409526404	104	GCA_000865825.1	33.57	12.9	10.78495489	35.65976386	12	1.01
GD_ZH_contig_18692160||full	72797	NA	103456.2031	70.36504127	low	10.27708039	11	3300028615|Ga0309935_100024	38.52	21.82	60.47954082	98.91002136	16	1
JS_YC_contig_12279870	72629	NA	68109.78306	100	high	4.588272363	2	DTR_891550	39.16	48.35	56.68928916	88.17291738	10	1
JS_YC_contig_12609450	72597	NA	81290	89.30618772	medium	7.783521358	1	3300023198|Ga0255983_100024	44.62	27.71	82.84533668	99.89622536	8	1
JS_YC_contig_22874534	72449	NA	52356.69825	100	low	33.43057292	19	DTR_224487	30.11	4.66	82.26782885	85.6468207	20	1
JS_YC_contig_6367632	70751	NA	196484.161	36.00850046	medium	6.99617416	4	753169	42.1	37.06	34.14142108	74.20364006	5	1
GX_BH_contig_30582600	70719	NA	78086.93289	90.56444834	medium	7.288705512	8	DTR_141440	43.79	24.96	73.23928917	97.97749179	16	1
ZJ_WZ_contig_11269286	70705	NA	119641.0122	59.09762772	medium	9.692831979	10	DTR_110462	51.3	64.5	51.86312612	83.94284945	6	1
GD_ZH_contig_26133001	70645	NA	163422.5661	43.22842413	low	22.94139565	104	DTR_107728	43.48	8.26	38.583006	94.58067003	14	1
ZJ_NB_contig_16154260||full	70616	NA	52779.95841	100	low	13.01532465	6	401342	38.6	16.66	84.70837568	100	17	1
ZJ_WZ_contig_27245757	70267	NA	66085.68133	100	low	21.87995547	4	DTR_224486	40.58	12.22	95.50568522	100	12	1
ZJ_NB_contig_7938033||full_1	69559	NA	351113.1448	19.81099285	medium	7.783521358	13	DTR_128960	43.65	28.74	29.13002357	58.02199876	26	1
ZJ_WZ_contig_8256396	69348	NA	112589.4252	61.59370642	low	34.01282761	90	DTR_268051	50.72	4.84	24.50560322	100	2	1
ZJ_WZ_contig_3268092	69334	NA	101266.9371	68.46657159	medium	6.862159255	10	DTR_131511	34.92	34.65	62.28435256	97.97844073	9	1
SD_QD_contig_24509221	69200	NA	150824.1778	45.88123801	medium	9.409526404	175	DTR_883739	34.66	16.54	37.49086052	95.94763484	12	1
ZJ_WZ_contig_21489438	69007	NA	353289.574	19.53270209	medium	6.326123077	19	GCA_902989045.1	47.45	37.21	22.30085825	35.92691151	19	1
HN_SY_contig_34732266||full_1	68859	NA	82140.38967	83.830866	low	21.87995547	8	GCA_902993285.1	39.4	9.6	77.25741697	100	6	1
ZJ_NB_contig_5429611	68807	NA	178825.1457	38.47725091	high	3.626351004	121	DTR_893586	62.07	43.36	31.50958199	50.29575839	31	1.01
