seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
LN_DD_contig_12864470	8380	No terminal repeats	NA	10	11	0.9839	NA	3	16.5098	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_6463071	6751	No terminal repeats	NA	10	11	0.9838	NA	3	17.1000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_20889326	7136	No terminal repeats	NA	16	11	0.9838	NA	0	26.8469	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_20300099	5392	No terminal repeats	NA	10	11	0.9838	NA	0	16.9646	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
SD_QD_contig_8449836	6581	No terminal repeats	NA	7	11	0.9838	NA	2	11.8406	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_3724025	6561	No terminal repeats	NA	9	11	0.9838	NA	1	15.1196	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
FJ_XM_contig_6247822	7819	No terminal repeats	NA	9	11	0.9838	NA	6	15.3307	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_37874	5607	No terminal repeats	NA	9	11	0.9838	NA	3	14.3165	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_17598345	6164	No terminal repeats	NA	11	11	0.9838	NA	3	18.0017	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
FJ_XM_contig_29128672	7360	No terminal repeats	NA	13	11	0.9837	NA	5	21.9543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
FJ_XM_contig_2980336	8419	No terminal repeats	NA	9	11	0.9837	NA	3	14.6630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_13749097	12964	No terminal repeats	NA	14	11	0.9837	NA	2	23.1917	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_25430080	13216	No terminal repeats	NA	12	11	0.9837	NA	2	20.1573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_23899876||full	12553	No terminal repeats	NA	9	11	0.9837	NA	2	14.9518	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_15971142	5687	No terminal repeats	NA	9	11	0.9837	NA	1	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_410067	13439	No terminal repeats	NA	20	11	0.9837	NA	5	31.9563	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_3374499	10514	No terminal repeats	NA	11	11	0.9837	NA	6	18.4566	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_19434061	19420	No terminal repeats	NA	20	11	0.9837	NA	5	32.7092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_20860486	5854	No terminal repeats	NA	6	11	0.9837	NA	0	10.0154	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_16722268	6138	No terminal repeats	NA	8	11	0.9837	NA	0	13.4953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_23855288	11953	No terminal repeats	NA	16	11	0.9837	NA	2	26.9765	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_19145175	19857	No terminal repeats	NA	28	11	0.9837	NA	4	45.0299	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_7647014	6877	No terminal repeats	NA	11	11	0.9837	NA	4	18.8188	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_28633800	17986	No terminal repeats	NA	16	11	0.9837	NA	2	26.9021	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
GX_BH_contig_11250264	5138	No terminal repeats	NA	8	11	0.9837	NA	1	13.2821	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_19875992	5199	No terminal repeats	NA	7	11	0.9837	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_26371829	5732	No terminal repeats	NA	8	11	0.9837	NA	0	13.4793	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_9828800||full	8128	No terminal repeats	NA	7	11	0.9837	NA	1	11.5142	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_24504283	13341	No terminal repeats	NA	18	15	0.9837	NA	7	30.0243	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_25310646	5833	No terminal repeats	NA	7	11	0.9837	NA	2	11.8129	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_YC_contig_1172582	14750	No terminal repeats	NA	9	11	0.9837	NA	3	14.8435	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_5404868	5405	No terminal repeats	NA	8	11	0.9837	NA	1	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
FJ_XM_contig_7755029	6834	No terminal repeats	NA	9	11	0.9837	NA	4	15.1286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_2112779	8083	No terminal repeats	NA	11	11	0.9836	NA	3	18.8072	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_16642004	7225	No terminal repeats	NA	8	11	0.9836	NA	1	13.5189	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_17869066	5877	No terminal repeats	NA	10	11	0.9836	NA	3	17.1006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_12765073	5365	No terminal repeats	NA	8	11	0.9836	NA	3	13.4511	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_20836240	7580	No terminal repeats	NA	7	11	0.9836	NA	3	11.8035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_4035343	5302	No terminal repeats	NA	7	11	0.9836	NA	3	11.1744	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_25298354	7564	No terminal repeats	NA	10	11	0.9836	NA	0	16.1953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_16243615	6885	No terminal repeats	NA	12	11	0.9836	NA	4	18.6642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_6852872	5200	No terminal repeats	NA	10	11	0.9836	NA	2	17.1828	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
ZJ_WZ_contig_12887204	6165	No terminal repeats	NA	7	11	0.9836	NA	2	11.8276	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_18936162||full	5498	No terminal repeats	NA	10	11	0.9836	NA	1	16.5556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_20176417||full	17205	No terminal repeats	NA	22	11	0.9836	NA	4	34.6686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_8581166	7741	No terminal repeats	NA	14	11	0.9836	NA	1	23.6114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_12633915	6887	No terminal repeats	NA	6	11	0.9836	NA	1	9.6865	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_21798992	7031	No terminal repeats	NA	12	11	0.9836	NA	1	20.3133	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_17146708	5220	No terminal repeats	NA	11	11	0.9836	NA	1	18.6084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_5239918	5645	No terminal repeats	NA	13	11	0.9836	NA	2	22.3287	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
