	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH6_FDSW220017126-1r	BH8_FDSW220017128-1r	BH10_FDSW220017130-1r	BH12_FDSW220017132-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DY2_FDME210438600-1b	DY3_FDME210438601-1r	DY6_FDME210438604-1r	DY7_FDME210438605-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	LYG15_FDME210455396-1a	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	SY1_FDME210455397-2a	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	ST1_FDME220007465-1r	ST3_L1	ST7_FDME220007471-1r	ST9_L1	ST10_L1	ST12_L1	ST13_L1	ST15_L1	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	XM2_FDME220007436-1r	XM4_FDME220007438-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	XM10_FDME220007444-1r	XM12_FDME220007446-1r	XM14_FDME220007448-1r	XM15_FDME220007449-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
FJ_XM_contig_10088049||full	0	0.205537666	0	0	0.462190136	0	1.094662806	0.529567005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320297882	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919168659	11.01645959	4.99218355	5.838522524	2.515474267	3.955318964	6.318476995	4.581645795	5.526867318	13.14742885	5.463537343	8.12586323	6.743304557	3.435559084	4.861756079	2.589783989	0	0	0	0	0.060840539	0	0	0	9.938091668	24.23484027	20.04984946	20.22748417	20.38420178	15.25384878	22.98415197	16.26601415	0	0	0	0	0	0	0	0	0	2.710617271	0	1.35291041	0	0.00098089	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_10129691||full_1	2.309831602	0.422780807	0.205431422	0.862621845	1.0596916	0.426926712	0.437689026	0.322520225	1.976462948	0	0.09414145	0.068311389	1.091486352	0	1.514406657	0.43790197	0	6.039303921	0	0	0	0	0	0	0	0	0	0.612445077	0	0	0	0	3.024726433	0	2.320167286	1.284838073	0.401096468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018075491	0	0	0	0	0	0	0.027581644	3.801272034	5.94571091	13.86652924	5.945606705	3.750285525	10.81455582	5.994385322	5.243365807	7.594626717	14.59079067	13.48284997	6.110757996	5.04315637	2.262376731	7.239969698	2.901889349	0	0	0	0	0	0	0	0	0.40724372	0	0	0	0.500872772	0.196746199	0.058425867	0.358307211
FJ_XM_contig_10165873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185964762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.74292386	39.32375718	31.11652838	22.37769137	27.02547714	86.08208371	30.91693954	51.62255578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_10421780||full	0	0	0	0	0	0	0	0	1.618453556	0.996305462	2.964688299	0	2.041618282	1.259816768	2.413798027	0.88452264	2.554150186	12.82008823	0.291868757	0	0	0.430271006	0	0	18.11583389	15.60605185	15.23761485	6.635740824	3.863101839	2.739642657	3.545808223	0	0	0	0	0	0	0	0	0	0.262280237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.12307846	25.01599584	24.51790167	25.38507135	25.32257764	17.88385176	21.56476086	29.27707759	0.365543498	1.049342219	0.567298061	0	0	0.142239346	0.387595312	0.217177875	0	0	0	0	0	0	0	0	2.498591711	1.460760602	7.322700419	1.230490969	0.503964389	1.008263074	1.425248799	0.404710425
FJ_XM_contig_10563041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.207463402	0.892084927	2.224548724	1.142504319	5.36372986	0.251579285	3.331241596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.803719824	0	0	0	0.283128418	0.113952489	0.636231626	0	0	0	0	0	0	0	0	0	14.33018057	6.790819694	2.012704203	2.131227224	3.741023474	16.99186903	10.80776757	10.37543512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592488777	0	0	0.455033465	0.613435268	0.239565486	0.595738719
FJ_XM_contig_10819121||full_1	0.404935563	0	1.13581492	0	0.400480477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011333255	0	0	0	0	0	0	0	0	0	0	0	0	0	3.612629941	2.274215214	8.97923795	5.755680986	7.558403281	1.654169017	5.024375185	10.06916791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_10888869||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.044546787	11.58902459	7.984968376	7.750524008	0	16.60596241	8.911303683	0	11.14511209	0.099384199	5.247342346	12.17384404	3.481892708	4.858155828	8.748204229	5.617086917	33.51916508	19.9210382	23.18776679	18.75425475	53.65019575	53.26880211	7.23809712	13.04749537	3.235060264	0	0	0	0	0	0	0	0	0	0	1.114531074	0	0	0	16.22412064	2.188818289	1.459087961	1.204425302	5.950354312	5.204046759	5.125427399	4.811930884	2.901341089	5.427074382	15.0869057	14.09097781	38.43781385	24.77438037	20.96098873	31.75982633	37.86445304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_11298095||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443650455	0	0	0	19.04567541	17.39178208	13.89014041	9.729131309	1.082664906	27.16768289	6.725525299	0	18.42082729	1.477425544	7.510900683	14.18416893	6.345660731	6.857296878	14.99763452	12.49179476	56.02731981	35.18878106	45.83360274	40.05650212	106.4349013	86.80793752	15.84824752	16.45819108	5.56618275	0	0	0	0	0	0	0	0	0	0	0.122787676	0	0	0	25.06918317	9.228424097	2.43907076	1.853872667	8.04598647	7.413642501	5.145984682	6.239911188	4.59751003	16.81844547	25.35005771	25.53587956	63.98819121	42.25894291	32.26170933	44.08308127	60.73780549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_1157513||full	0.304057378	0.837850176	1.038640091	1.050937356	0.440896547	0.585694072	0	1.090037986	1.44547608	0	0.032920595	0.5781594	1.272531565	0.782411498	2.973356164	0.086852879	0.074353821	5.349929859	0	0	0	0	0	0	0	0	0	0.011906053	0	0	0	0	4.498611569	0	2.704186186	0	0.412782856	0.069646563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47036248	0	0	0.209123811	3.042613478	8.44745074	12.08176262	5.211027882	4.965239831	7.437648708	5.890677089	6.266459136	7.111922402	12.31902057	7.435678624	7.605275584	6.385326268	1.218291241	5.320801604	4.572812587	0	0	0	0	0	0	0	0	0.531332585	0	0	0	0	0	0.059565031	0
FJ_XM_contig_11757470||full	5.419392302	1.772201194	7.181092205	3.244062037	1.585918244	10.29682576	5.607429449	3.0268532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.524863443	2.904645365	2.019897823	2.506841333	2.083964841	1.361208796	3.879278506	7.404360875	0	0	0	0	0	0	0	0	5.948839165	7.028866718	3.460576246	4.862582455	6.719451368	6.743112002	8.273631821	5.535576566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
