seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
FJ_XM_contig_1001637	0.967	0.353	0.967	dsDNAphage	9601	3	75	0
FJ_XM_contig_10032641||full	0.993	0.4	0.993	dsDNAphage	5886	1	66.7	0
FJ_XM_contig_10059496	0.933	0.947	0.947	ssDNA	5407	0	75	0
FJ_XM_contig_10061671	0.993	0.033	0.993	dsDNAphage	14306	3	52.6	0
FJ_XM_contig_10088049||full	0.787	0.013	0.787	dsDNAphage	9126	1	42.9	14.3
FJ_XM_contig_10129691||full_1	0.933	0	0.933	dsDNAphage	15662	7	55.6	44.4
FJ_XM_contig_10138878||full	0.987	0.48	0.987	dsDNAphage	5120	2	66.7	0
FJ_XM_contig_10149942	1	0.473	1	dsDNAphage	5718	2	83.3	0
FJ_XM_contig_10165873	0.927	0.133	0.927	dsDNAphage	12892	0	64.7	0
FJ_XM_contig_10190735	1	0.173	1	dsDNAphage	7001	2	83.3	0
FJ_XM_contig_10193199	0.993	0.04	0.993	dsDNAphage	9841	1	44.4	5.6
FJ_XM_contig_10205102	1	0.46	1	dsDNAphage	13514	8	100	0
FJ_XM_contig_1028543||full	1	0.013	1	dsDNAphage	35191	10	37.7	5.7
FJ_XM_contig_10303227	0.893	0.72	0.893	dsDNAphage	5180	0	33.3	0
FJ_XM_contig_10402292||full	1	0.333	1	dsDNAphage	5834	1	26.7	0
FJ_XM_contig_10421780||full	0.833	0.007	0.833	dsDNAphage	7110	2	45.5	18.2
FJ_XM_contig_1042748	1	0.053	1	dsDNAphage	5828	3	71.4	14.3
FJ_XM_contig_10539094	0.993	0.68	0.993	dsDNAphage	12489	2	100	0
FJ_XM_contig_10543621	1	0.4	1	dsDNAphage	21470	1	57.1	0
FJ_XM_contig_10563041	1	0.053	1	dsDNAphage	21231	5	53.8	0
FJ_XM_contig_10610042	0.92	0.827	0.92	dsDNAphage	5704	0	60	0
FJ_XM_contig_10616952	0.993	0.613	0.993	dsDNAphage	5623	1	36.4	0
FJ_XM_contig_10640458	0.573	0.007	0.573	dsDNAphage	10412	0	11.8	5.9
FJ_XM_contig_10643284	1	0.407	1	dsDNAphage	5631	1	50	0
FJ_XM_contig_10666806	0.953	0.487	0.953	dsDNAphage	6646	0	13.3	0
FJ_XM_contig_10734614	0.967	0.967	0.967	dsDNAphage	6660	0	42.9	0
FJ_XM_contig_10775049	0.633	0.32	0.633	dsDNAphage	11091	0	33.3	0
FJ_XM_contig_1078496||full	0.967	0.327	0.967	dsDNAphage	5272	1	28.6	0
FJ_XM_contig_10819121||full_1	0.993	0.127	0.993	dsDNAphage	6526	3	42.9	0
FJ_XM_contig_10831822||full	0.773	0.033	0.773	dsDNAphage	4984	1	40	0
FJ_XM_contig_108678	0.873	0.167	0.873	dsDNAphage	7634	0	15.8	5.3
FJ_XM_contig_10888869||full	0.72	0.027	0.72	dsDNAphage	6655	0	42.9	14.3
FJ_XM_contig_10901194	0.893	0.3	0.893	dsDNAphage	13474	0	5.9	0
FJ_XM_contig_10973223	1	0.127	1	dsDNAphage	41911	6	61.4	0
FJ_XM_contig_10980134	1	0.3	1	dsDNAphage	5402	0	58.3	0
FJ_XM_contig_11008764	0.967	0.333	0.967	dsDNAphage	5553	0	30.8	0
FJ_XM_contig_11020122||full	0.967	0.967	0.967	dsDNAphage	8178	2	66.7	0
FJ_XM_contig_11035178	1	0.787	1	dsDNAphage	9281	2	88.9	0
FJ_XM_contig_11071040||full	0.98	0.533	0.98	dsDNAphage	5240	1	33.3	0
FJ_XM_contig_11181353	0.887	0.02	0.887	dsDNAphage	5948	2	22.2	22.2
FJ_XM_contig_11197225||full	1	0.04	1	dsDNAphage	15991	4	47.4	0
FJ_XM_contig_11229075	nan	nan	nan	dsDNAphage	5114	1	100	0
FJ_XM_contig_11259||full	0.973	0.007	0.973	dsDNAphage	18083	2	31.8	4.5
FJ_XM_contig_1126923	1	0.253	1	dsDNAphage	17510	4	52.4	0
FJ_XM_contig_11284195	0.84	0.493	0.84	dsDNAphage	5142	0	33.3	0
FJ_XM_contig_11298095||full	0.627	0.027	0.627	dsDNAphage	11056	0	25	12.5
FJ_XM_contig_11360602	0.987	0.767	0.987	dsDNAphage	5207	1	100	0
FJ_XM_contig_113727	0.82	0.553	0.82	dsDNAphage	5353	0	16.7	0
FJ_XM_contig_11390125	0.86	0.927	0.927	ssDNA	5057	0	71.4	0
FJ_XM_contig_11395216	0.893	0.12	0.893	dsDNAphage	8234	0	68.4	5.3
FJ_XM_contig_11421452||full	0.987	0	0.987	dsDNAphage	15616	4	41.7	12.5
FJ_XM_contig_11475677	0.947	0.387	0.947	dsDNAphage	14501	0	100	0
FJ_XM_contig_115108	0.893	0.8	0.893	dsDNAphage	7334	0	80	0
FJ_XM_contig_11511483||full	1	0.4	1	dsDNAphage	10648	1	11.1	0
FJ_XM_contig_11518495||full	0.7	0	0.7	dsDNAphage	9868	1	25	0
FJ_XM_contig_11520058	1	0.813	1	dsDNAphage	8662	6	100	0
FJ_XM_contig_11545184	0.98	0.047	0.98	dsDNAphage	26768	4	42.5	2.5
FJ_XM_contig_11561743	0.793	0.187	0.793	dsDNAphage	6222	0	28.6	0
FJ_XM_contig_11569795	0.967	0.493	0.967	dsDNAphage	6381	2	50	0
FJ_XM_contig_1157513||full	0.787	0.007	0.787	dsDNAphage	11109	1	33.3	8.3
FJ_XM_contig_11596083	1	0.687	1	dsDNAphage	14362	12	88.9	0
FJ_XM_contig_11670770	0.62	0.013	0.62	dsDNAphage	9449	0	30.8	0
FJ_XM_contig_11716008	0.78	0.62	0.78	dsDNAphage	6465	0	80	0
FJ_XM_contig_11757470||full	0.96	0.007	0.96	dsDNAphage	7688	3	44.4	11.1
FJ_XM_contig_1182712	0.847	0.853	0.853	ssDNA	7889	0	76.9	0
FJ_XM_contig_11854378||full	0.947	0.047	0.947	dsDNAphage	7067	1	44.4	11.1
FJ_XM_contig_11861687	0.86	0.227	0.86	dsDNAphage	6176	0	41.7	0
FJ_XM_contig_11943674	1	0.433	1	dsDNAphage	7289	2	55.6	0
FJ_XM_contig_1205038||full	1	0.053	1	dsDNAphage	13549	1	35.7	7.1
FJ_XM_contig_1205379||full	1	0.013	1	dsDNAphage	13056	1	39.3	7.1
FJ_XM_contig_12055771	1	0.553	1	dsDNAphage	6366	3	57.1	0
FJ_XM_contig_12154695	0.867	0.84	0.867	dsDNAphage	5412	0	50	0
FJ_XM_contig_12224900||full	0.953	0.02	0.953	dsDNAphage	6115	1	42.9	0
FJ_XM_contig_12279190	0.913	0.713	0.913	dsDNAphage	6365	0	7.1	0
