contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
SD_QD_contig_14843207	228668	303	24	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_28142080	208634	298	22	11	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_23630186	184616	261	23	3	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_21191177	179610	225	10	7	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_45295	157602	221	18	4	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_18685948	149515	249	28	7	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_176805	145869	147	9	5	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_4707579	133749	175	12	4	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_21341706	133561	135	9	3	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_13064791	132237	139	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_9678240	126965	159	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_24749846||full	126291	159	51	7	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_23352793	125112	183	37	8	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_1852782||full	123231	185	13	17	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_23031562	119646	138	6	5	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_17175347	119616	185	13	17	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_5901156	118177	171	16	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_1955090	117238	78	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_19801164	111369	120	18	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_33296128	108700	150	7	3	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_34406230	108682	141	23	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_15821115	108171	100	8	6	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_13725386	104407	129	9	5	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_25056188	103896	97	7	3	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_15505254	101228	128	52	3	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_22781247	100772	178	11	13	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_279825	98287	122	26	3	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_20673129||full	96472	104	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_17914722	95240	174	57	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_1990040||full	94969	109	31	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_19258696	94837	126	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_13440536	94798	92	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_12795652	94638	121	39	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_6777554||full	93625	105	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_10208478	93439	63	5	3	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_27245864	93183	140	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_21224243	92004	112	44	5	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_2899540	90288	140	4	3	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_14240859	90005	83	19	3	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_20461756	89912	140	24	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_24016961	89206	132	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_27765247||full_1	88867	85	49	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_2194780	88825	106	9	6	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_12311611||full	87202	109	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_8815207	87179	129	70	1	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_30570372	83309	135	17	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_27017765	82462	116	11	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_469125	81380	69	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_33009557	81265	83	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_7626743	81248	82	21	3	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_2872412	80540	158	10	3	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_27212223	80311	99	36	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_22382593	80188	89	19	8	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_11527234	79875	107	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_23996425	79404	183	13	6	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_83457	77023	117	6	5	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_1821175	76255	110	23	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_33659228||full	76251	107	18	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_15474663||full	76072	115	6	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_8448175	75395	67	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_4391402||full	75017	79	13	6	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_10511516_fragment_1	74637	138	7	7	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_25740450	74194	99	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_22913908	73453	156	8	6	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_6163631	73099	80	4	5	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_25297507	73021	86	13	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_18692160||full	72797	95	16	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_12279870	72629	95	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_12609450	72597	104	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_22874534	72449	130	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_6367632	70751	72	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_30582600	70719	90	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_11269286	70705	39	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_26133001	70645	112	14	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_16154260||full	70616	98	17	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_27245757	70267	108	12	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_7938033||full_1	69559	105	27	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_8256396	69348	76	2	5	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_3268092	69334	80	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_24509221	69200	91	12	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_21489438	69007	73	19	2	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_34732266||full_1	68859	98	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_5429611	68807	76	32	3	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_11299071	68748	88	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
